,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName
9740,8816,Zoids: Battle Legends,GC,2003.0,Action,Tomy Corporation,0.12,0.03,0.0,0.0,0.15,,,,Zoids ,,,,Zoids Battle Coliseum
9741,8817,World Series Baseball 2K3,XB,2003.0,Sports,Sega,0.11,0.03,0.0,0.01,0.15,,,,mars 2003,,,,World Series Baseball 2K3
9742,8818,Serious Sam,XB,2002.0,Shooter,Take-Two Interactive,0.11,0.03,0.0,0.01,0.15,7.0,7.0,7.0,Serious Sam,2002-12-06,,Croteam,Serious Sam 4
9743,8818,Serious Sam,XB,2002.0,Shooter,Take-Two Interactive,0.11,0.03,0.0,0.01,0.15,7.0,7.0,7.0,Serious Sam,2002-12-06,,Croteam,Serious Sam
9744,8819,Kowloon's Gate,PS,1997.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,7.0,1.0,,"""Kowloon's Gate """,,,Artdink Corporation,
9745,8820,Killer7,GC,2005.0,Action,Capcom,0.12,0.03,0.0,0.0,0.15,,,,,,,Grasshopper Manufacture Inc.,Killer7
9746,8821,Kingdom of Paradise,PSP,2005.0,Role-Playing,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,7.0,5.0,6,Key of Heaven ,,Sony Interactive Entertainment Europe,Climax Entertainment (JP),
9747,8822,Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,2010.0,Puzzle,Astragon,0.09,0.04,0.0,0.01,0.15,,,,Hidden Mysteries ,,,Gunnar Games,
9748,8823,NBA Street Homecourt,PS3,2007.0,Sports,Electronic Arts,0.12,0.02,0.0,0.02,0.15,6.7,12.0,7.0,NBA Street,2007-03-23,,EA Big,NBA Street Homecourt
9749,8824,The Sims Medieval: Pirates and Nobles,PC,2011.0,Simulation,Electronic Arts,0.05,0.08,0.0,0.02,0.15,5.0,1.0,4,Les Sims ,,,Maxis,
9750,8825,The Cursed Crusade,X360,2011.0,Action,DTP Entertainment,0.08,0.05,0.0,0.01,0.15,4.5,4.0,,,,,Kylotonn Entertainment,
9751,8826,Super Monkey Ball Adventure,GC,2006.0,Platform,Sega,0.12,0.03,0.0,0.0,0.15,,,,Super Monkey Ball ,,,"""Traveller's Tales""",Super Monkey Ball Adventure
9752,8827,Kids Learn Math: A+ Edition,DS,2011.0,Misc,Unknown,0.14,0.0,0.0,0.01,0.15,,,,,,,,
9753,8828,FIFA Soccer 2002,PS,2001.0,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15,5.9,11.0,7,FIFA EA Sports ,,,EA Sports,
9754,8829,Build-A-Bear Workshop: Welcome to Hugsville,DS,2010.0,Misc,Game Factory,0.14,0.0,0.0,0.01,0.15,,,,Build-A-Bear Workshop ,,,,Build-A-Bear Workshop : Welcome to Hugsville
9755,8830,Street Fighter Anniversary Collection,XB,2004.0,Fighting,Capcom,0.11,0.03,0.0,0.01,0.15,6.9,15.0,6,Street Fighter ,,,Digital Eclipse,
9756,8831,Final Fantasy XI: Vana'diel Collection 2008,X360,2007.0,Role-Playing,Square Enix,0.13,0.0,0.01,0.01,0.15,8.7,3.0,,Final Fantasy ,,,Squaresoft,
9757,8832,Suzumiya Haruhi no Yakusoku,PSP,2007.0,Adventure,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,5.0,2.0,,The Melancholy of Haruhi Suzumiya ,,,,The Melancholy of Haruhi Suzumiya
9758,8833,Shadow Ops: Red Mercury,XB,2004.0,Shooter,Atari,0.11,0.03,0.0,0.01,0.15,7.0,1.0,4.0,,2004-10-08,,Zombie Studios,Shadow Ops : Red Mercury
9759,8833,Shadow Ops: Red Mercury,XB,2004.0,Shooter,Atari,0.11,0.03,0.0,0.01,0.15,7.0,1.0,4.0,,2004-10-08,,Zombie Studios,Shadow Ops: Red Mercury
9760,8834,Indigo Prophecy,PS2,2005.0,Adventure,Atari,0.07,0.06,0.0,0.02,0.15,7.1,103.0,7,,,,Quantic Dream,
9761,8835,Mind Zero,PSV,2013.0,Role-Playing,GungHo,0.08,0.0,0.04,0.02,0.15,5.0,5.0,,,,,Zerodiv,
9762,8836,World League Soccer,SNES,1991.0,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15,,,5,,,,Anco,World League Soccer
9763,8837,NBA ShootOut 2001,PS2,2001.0,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,,,,NBA (Sony) ,,,989 Sports,
9764,8838,Earth Defense Force 2025,X360,2013.0,Shooter,D3Publisher,0.06,0.04,0.05,0.01,0.15,7.1,12.0,,Force de Défense Terrestre ,,Namco Bandai Partners,Sandlot,
9765,8839,Spider-Man: Friend or Foe,Wii,2007.0,Action,Activision,0.13,0.01,0.0,0.01,0.15,5.0,3.0,3,,,,Next Level Games,
9766,8840,Ultimate Board Game Collection,Wii,2007.0,Misc,Xplosiv,0.14,0.0,0.0,0.01,0.15,5.3,3.0,,,,Codemasters,Mere Mortals,
9767,8841,Syndicate,PS3,2012.0,Shooter,EA Games,0.07,0.06,0.0,0.02,0.15,6.0,14.0,4.0,Syndicate,2012-02-21,,Starbreeze,Syndicate
9768,8842,Samurai Shodown Anthology,PS2,2008.0,Fighting,Ignition Entertainment,0.07,0.06,0.0,0.02,0.15,7.4,17.0,,,,,SNK Playmore,
9769,8843,NBA 09: The Inside,PS3,2008.0,Sports,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,,,,NBA (Sony) ,,,San Diego Studio,
9770,8844,Musashi: Samurai Legend,PS2,2005.0,Role-Playing,Atari,0.07,0.06,0.0,0.02,0.15,6.0,12.0,5.0,Brave Fencer Musashi,2005-09-20,,Square Enix,Musashi : Samurai Legend
9771,8844,Musashi: Samurai Legend,PS2,2005.0,Role-Playing,Atari,0.07,0.06,0.0,0.02,0.15,6.0,12.0,5.0,Brave Fencer Musashi,2005-09-20,,Square Enix,Musashi: Samurai Legend
9772,8845,Saint Seiya: Soldiers' Soul,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.09,0.04,0.02,0.15,6.0,23.0,5,Les Chevaliers du Zodiaque (Saint Seiya) ,,,Dimps,
9773,8846,Terraria,PC,2011.0,Action,Unknown,0.0,0.13,0.0,0.02,0.15,7.1,63.0,7.0,Terraria,2011-05-30,,Re-Logic,Terraria
9774,8847,Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013.0,Action,Konami Digital Entertainment,0.04,0.07,0.03,0.01,0.15,6.8,66.0,5.5,Castlevania,2013-11-04,,MercurySteam,Castlevania : Lords of Shadow - Mirror of Fate
9775,8847,Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013.0,Action,Konami Digital Entertainment,0.04,0.07,0.03,0.01,0.15,6.8,66.0,5.5,Castlevania,2013-11-04,,MercurySteam,Castlevania: Lords of Shadow - Mirror of Fate
9776,8848,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,7.5,4.0,,Super Robot Taisen ,,,,Dai 3 Ji Super Robot Taisen Z Tengoku Hen
9777,8849,Fantasia: Music Evolved,XOne,2014.0,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,,,,,,,,
9778,8850,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,,,
9779,8851,F1 2001,PS2,2001.0,Racing,Electronic Arts,0.07,0.06,0.0,0.02,0.15,7.3,3.0,8.0,F1 (EA Sports),2001-10-16,,EA Sports,F1 2001
9780,8852,The Legend of Heroes: Trails of Cold Steel II,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.02,0.0,0.13,0.01,0.15,8.0,17.0,6.0,The Legend of Heroes,2016-11-07,,Falcom,The Legend of Heroes : Trails of Cold Steel II
9781,8852,The Legend of Heroes: Trails of Cold Steel II,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.02,0.0,0.13,0.01,0.15,8.0,17.0,6.0,The Legend of Heroes,2016-11-07,,Falcom,The Legend of Heroes: Trails of Cold Steel II
9782,8853,Top Gun: Combat Zones,GC,2002.0,Simulation,Titus,0.12,0.03,0.0,0.0,0.15,4.0,1.0,,Top Gun ,,Bigben Interactive,Titus Interactive,
9783,8854,J-League Victory Goal,SAT,1995.0,Sports,Sega,0.0,0.0,0.15,0.0,0.15,6.0,1.0,,Victory Goal ,,,Sega,
9784,8855,Bakugan Battle Brawlers: Defenders of the Core,PSP,2010.0,Action,Activision,0.09,0.04,0.0,0.03,0.15,,,,Bakugan ,,,,Bakugan : les protecteurs de la terre
9785,8856,Oreshika: Tainted Bloodlines,PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,6.5,13.0,7.0,Ore no Shikabane o Koete Yuke,2015-03-12,,,Oreshika : Tainted Bloodlines
9786,8856,Oreshika: Tainted Bloodlines,PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,6.5,13.0,7.0,Ore no Shikabane o Koete Yuke,2015-03-12,,,Oreshika: Tainted Bloodlines
9787,8857,White Knight Chronicles: Origins,PSP,2011.0,Role-Playing,Sony Computer Entertainment,0.0,0.04,0.09,0.02,0.15,4.0,2.0,,White Knight Chronicles ,,,Sony Interactive Entertainment,
9788,8858,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,Marvelous Entertainment,0.04,0.0,0.1,0.01,0.15,7.0,1.0,,,,,Marvelous,
9789,8859,Spongebob Squarepants / Fairly Odd Parents Double Pack,GBA,2005.0,Action,THQ,0.11,0.04,0.0,0.0,0.15,,,,,,,,
9790,8860,History Civil War: Secret Missions,PS2,2008.0,Shooter,Activision,0.07,0.06,0.0,0.02,0.15,,,,The History Channel ,,,Cauldron,
9791,8861,NHL 09,PS2,2008.0,Sports,Electronic Arts,0.07,0.06,0.0,0.02,0.15,6.5,4.0,7.0,NHL EA Sports,2008-09-30,,EA Sports,NHL 09
9792,8862,Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,0.08,0.05,0.0,0.02,0.15,6.5,45.0,5.0,Mirror's Edge,2016-06-07,,DICE,Mirror's Edge Catalyst
9793,8863,Derby Stallion 64,N64,2001.0,Sports,Media Factory,0.0,0.0,0.15,0.0,0.15,,,,Derby Stallion ,,,,Derby Stallion 64
9794,8864,Doraemon 3: Nobi Dai no Machi SOS!,N64,2000.0,Platform,Epoch,0.0,0.0,0.09,0.06,0.15,,,,,,,,
9795,8865,Space Station Silicon Valley,N64,1997.0,Adventure,Take-Two Interactive,0.12,0.03,0.0,0.0,0.15,7.0,3.0,,,,,Rockstar North,
9796,8866,Dark Rift,N64,1997.0,Fighting,Vic Tokai,0.12,0.03,0.0,0.0,0.15,,,,,,,Kronos,
9797,8867,Tokyo Xanadu,PSV,2015.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.15,0.0,0.15,7.8,5.0,6.0,Xanadu,2018-01-11,,Falcom,Tokyo Xanadu
9798,8868,All-Star Baseball 2003,GC,2002.0,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15,,,,All-Star Baseball ,,,Acclaim Entertainment,All-Star Baseball 2003
9799,8869,Burger Island,Wii,2009.0,Action,Destineer,0.14,0.0,0.0,0.01,0.15,8.0,1.0,,,,Destineer Studios,,Burger Island
9800,8870,Petz: Dogz Talent Show,DS,2009.0,Simulation,Ubisoft,0.14,0.0,0.0,0.01,0.15,,,,Petz ,,,Ubisoft Nagoya,
9801,8871,T'ai Fu: Wrath of the Tiger,PS,1998.0,Action,Activision,0.08,0.06,0.0,0.01,0.15,6.3,3.0,,,,,DreamWorks Interactive,
9802,8872,Rocky,XB,2002.0,Fighting,Rage Software,0.11,0.03,0.0,0.01,0.15,6.3,4.0,7.0,Rocky,2002-10-25,KOCH Media France,Rage Software,Rocky
9803,8873,Ford Racing 2,XB,2003.0,Racing,Empire Interactive,0.11,0.03,0.0,0.01,0.15,0.0,0.0,3.6666666666666665,Ford Racing,2003-11-05,,Razorworks,Ford Racing 2
9804,8874,Odin Sphere: Leifthrasir,PSV,2016.0,Role-Playing,Nippon Ichi Software,0.02,0.03,0.08,0.02,0.15,8.0,152.0,8,,,Ubisoft,Vanillaware Ltd.,
9805,8875,Sam & Max: Season One,Wii,2008.0,Adventure,JoWood Productions,0.13,0.01,0.0,0.01,0.15,6.7,23.0,4,,,Atari,Telltale Games,
9806,8876,Virtua Tennis 4,Wii,2011.0,Sports,Sega,0.05,0.08,0.0,0.02,0.15,6.7,38.0,5.25,Virtua Tennis,2011-04-29,,AM3,Virtua Tennis 4
9807,8877,Tetris Attack,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.15,0.0,0.15,8.7,3.0,,,,,Intelligent Systems,
9808,8878,Candace Kane's Candy Factory,Wii,2008.0,Action,Destineer,0.14,0.0,0.0,0.01,0.15,,,,,,,,Candy Factory
9809,8879,BloodRayne 2,XB,2004.0,Shooter,THQ,0.11,0.03,0.0,0.01,0.15,5.6,5.0,4.666666666666667,BloodRayne,2006-01-27,THQ,Terminal Reality,BloodRayne 2
9810,8880,Hot Wheels: Beat That!,Wii,2007.0,Racing,Activision,0.13,0.0,0.0,0.01,0.15,5.0,1.0,3,Hot Wheels ,,Digital Bros.,Eutechnyx,
9811,8881,Soldier of Fortune: Payback,PS3,2007.0,Shooter,Activision,0.12,0.02,0.0,0.01,0.15,3.5,6.0,3.0,Soldier of Fortune,2008-01-15,Digital Bros.,Cauldron,Soldier of Fortune : Payback
9812,8881,Soldier of Fortune: Payback,PS3,2007.0,Shooter,Activision,0.12,0.02,0.0,0.01,0.15,3.5,6.0,3.0,Soldier of Fortune,2008-01-15,Digital Bros.,Cauldron,Soldier of Fortune: Payback
9813,8882,Jaws Unleashed,XB,2006.0,Action,THQ,0.11,0.03,0.0,0.01,0.15,6.7,3.0,4,Les Dents de la mer ,,THQ,Appaloosa Interactive,
9814,8883,Pro Yaky? Spirits 6,PS3,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,Pro Baseball Spirits ,,,,Pro Baseball Spirits 6
9815,8884,Star Trek: Voyager Elite Force,PS2,2001.0,Shooter,Codemasters,0.07,0.06,0.0,0.02,0.15,7.5,6.0,4,,,,Raven Software,
9816,8885,X-Men: The Official Game,GC,2006.0,Action,Activision,0.12,0.03,0.0,0.0,0.15,4.0,1.0,3,,,,Beenox Studio,
9817,8886,Brain Boost: Gamma Wave,DS,2005.0,Puzzle,505 Games,0.14,0.0,0.0,0.01,0.15,,,,Devenez un Génie ,,,Nec Interchannel,
9818,8887,Scarface: The World is Yours,Wii,2007.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.15,6.7,11.0,6.0,,2006-10-24,,Radical Entertainment,Scarface : The World is Yours
9819,8887,Scarface: The World is Yours,Wii,2007.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.15,6.7,11.0,6.0,,2006-10-24,,Radical Entertainment,Scarface: The World is Yours
9820,8888,Rock Band: Metal Track Pack,X360,2009.0,Misc,MTV Games,0.14,0.0,0.0,0.01,0.15,,,,Rock Band ,,Electronic Arts,,Rock Band Track Pack : Metal
9821,8889,Chessmaster II,PS,1998.0,Strategy,Mindscape,0.08,0.06,0.0,0.01,0.15,,,,Chessmaster ,,,Starsphere Interactive,
9822,8890,All-Star Baseball 2003,GBA,2002.0,Sports,Acclaim Entertainment,0.11,0.04,0.0,0.0,0.15,0.0,0.0,7.0,All-Star Baseball,2002-05-16,,Acclaim Entertainment,All-Star Baseball 2003
9823,8891,Scooby-Doo! Mystery Mayhem,XB,2004.0,Action,THQ,0.11,0.03,0.0,0.01,0.15,,,5,Scooby-Doo ,,Nintendo,Behaviour Interactive,
9824,8892,Winning Post 4,PS,1999.0,Sports,Tecmo Koei,0.0,0.0,0.14,0.01,0.15,,,,Winning Post ,,,Koei,
9825,8893,Major League Baseball 2K13,PS3,2013.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,,,,Major League Baseball 2K ,,,Visual Concepts,
9826,8894,DreamWorks Super Star Kartz,Wii,2011.0,Racing,Activision,0.1,0.04,0.0,0.01,0.15,,,,,,,,DreamWorks Super Star Kartz
9827,8895,Pro Baseball Spirits 2015,PS3,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,Pro Baseball Spirits ,,,,Pro Baseball Spirits 2015
9828,8896,187: Ride or Die,PS2,2005.0,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,6.5,4.0,5,,,,,187 Ride or Die
9829,8897,Curious George,GC,2006.0,Action,Namco Bandai Games,0.11,0.03,0.0,0.0,0.15,,,,,,,Monkey Bar Games,
9830,8898,Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,,,
9831,8899,Armored Core: For Answer,X360,2008.0,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,6.7,10.0,6,Armored Core ,,Ubisoft,FromSoftware,
9832,8900,Geist,GC,2005.0,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15,,,,,,,n-Space,Geist
9833,8901,eJay Clubworld,PS2,,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,4.0,1.0,,eJay ,,,eJay Entertainment,
9834,8902,Cardinal Syn,PS,1998.0,Fighting,Sony Computer Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,,,Kronos,
9835,8903,Charm Girls Club: Pajama Party,Wii,2009.0,Misc,Electronic Arts,0.14,0.0,0.0,0.01,0.15,,,,Charm Girls Club ,,,EA Casual Entertainment,
9836,8904,Street Fighter Alpha 3,GBA,2002.0,Fighting,Capcom,0.11,0.04,0.0,0.0,0.15,,,,,,Avalon Interactive (Virgin Interactive),Capcom,Street Fighter Alpha 3
9837,8905,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008.0,Role-Playing,D3Publisher,0.13,0.0,0.0,0.01,0.15,5.0,1.0,5.0,,2009-10-13,,Media Vision,The Wizard of Oz : Beyond The Yellow Brick Road
9838,8905,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008.0,Role-Playing,D3Publisher,0.13,0.0,0.0,0.01,0.15,5.0,1.0,5.0,,2009-10-13,,Media Vision,The Wizard of Oz: Beyond The Yellow Brick Road
9839,8906,Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997.0,Shooter,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,,,
9840,8907,Ridge Racer DS,DS,2004.0,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,5.3,6.0,5.0,Ridge Racer,2005-05-30,,Namco,Ridge Racer DS
9841,8908,Warriors Orochi 3,PS4,2014.0,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15,,,,,,,Omega Force,Warriors Orochi 3
9842,8909,Nancy Drew: The White Wolf of Icicle Creek,Wii,2008.0,Adventure,Sega,0.14,0.0,0.0,0.01,0.15,,,3,,,,Her Interactive,
9843,8910,Super Street Fighter II,GEN,1993.0,Fighting,Capcom,0.0,0.0,0.15,0.0,0.15,7.1,8.0,7,Street Fighter ,,,Capcom,
9844,8911,Metal Gear Solid: Peace Walker HD Edition,PS3,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,7.5,103.0,8,Metal Gear ,,,Kojima Productions,
9845,8912,Battle Stadium D.O.N,PS2,2006.0,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,5.8,11.0,5.0,Dragon Ball,2006-07-26,,8ing,Battle Stadium D.O.N
9846,8913,No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.01,0.15,,,,,,,,
9847,8914,Brain Boost: Beta Wave,DS,2005.0,Puzzle,505 Games,0.14,0.0,0.0,0.01,0.15,,,,,,,,
9848,8915,Power Pro Kun Pocket 9,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,Powerful Pro Baseball ,,,Konami,
9849,8916,Rubik's World,Wii,2008.0,Puzzle,Game Factory,0.13,0.01,0.0,0.01,0.15,6.0,1.0,,,,,,Rubik's Puzzle World
9850,8917,Gallop & Ride!,Wii,2008.0,Sports,THQ,0.14,0.0,0.0,0.01,0.15,,,,,,,Radon Labs,
9851,8918,Shenmue II,DC,2001.0,Adventure,Sega,0.0,0.0,0.15,0.0,0.15,9.1,175.0,8.5,Shenmue,2001-11-15,,Sega-AM2,Shenmue II
9852,8919,Major League Baseball 2K8,PS2,2008.0,Sports,Bethesda Softworks,0.07,0.06,0.0,0.02,0.15,,,,Major League Baseball 2K ,,,,Major League Baseball 2K8
9853,8920,Capcom Classics Collection,XB,2005.0,Misc,Capcom,0.11,0.03,0.0,0.01,0.15,8.3,6.0,,Capcom Classics Collection ,,,Capcom,
9854,8921,Fugitive Hunter: War on Terror,PS2,2003.0,Shooter,Play It,0.07,0.06,0.0,0.02,0.15,,,,,,,,
9855,8922,The Incredible Hulk: Ultimate Destruction,GC,2005.0,Action,Vivendi Games,0.11,0.03,0.0,0.0,0.15,,,,,,,Radical Entertainment,The Incredible Hulk : Ultimate Destruction
9856,8922,The Incredible Hulk: Ultimate Destruction,GC,2005.0,Action,Vivendi Games,0.11,0.03,0.0,0.0,0.15,,,,,,,Radical Entertainment,The Incredible Hulk: Ultimate Destruction
9857,8923,Prince of Persia: The Two Thrones,GC,2005.0,Action,Ubisoft,0.11,0.03,0.0,0.0,0.15,7.2,91.0,7,Prince of Persia ,,,Ubisoft,
9858,8924,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011.0,Adventure,Banpresto,0.0,0.0,0.15,0.0,0.15,,,,Ore no Imôto ,,,,Ore no Imôto ga konnani kawaii wake ga nai Portable
9859,8925,Baseball Blast!,Wii,2009.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,,,,,,,WayForward,
9860,8926,Pac-Man World 3,XB,2005.0,Platform,Namco Bandai Games,0.11,0.04,0.0,0.01,0.15,0.0,0.0,5.0,Pac-Man,2006-06-06,Electronic Arts,Blitz Games,Pac-Man World 3
9861,8927,The Walking Dead: Season Two,PSV,2014.0,Adventure,Telltale Games,0.1,0.0,0.01,0.03,0.15,7.2,142.0,,The Walking Dead ,,,Telltale Games,
9862,8928,Harvest Moon: Hero of Leaf Valley,PSP,2009.0,Simulation,Rising Star Games,0.07,0.02,0.05,0.02,0.15,6.0,1.0,,Harvest Moon ,,,Natsume,
9863,8929,Phantasy Star Online Episode I & II,XB,2003.0,Role-Playing,Sega,0.11,0.03,0.0,0.01,0.15,7.9,37.0,8.0,Phantasy Star,2003-03-13,Atari,Sonic Team,Phantasy Star Online Episode I & II
9864,8930,F1 2012,PC,2012.0,Racing,Codemasters,0.01,0.11,0.0,0.03,0.15,7.3,24.0,8.0,F1 (Codemasters),2012-09-21,,Codemasters Birmingham,F1 2012
9865,8931,All-Star Baseball 2005,XB,,Sports,Unknown,0.11,0.03,0.0,0.01,0.15,,,,All-Star Baseball ,,,Acclaim Studios Austin,
9866,8932,Rayman Raving Rabbids,DS,2007.0,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.15,,,,,,,,
9867,8933,Kung-Fu: High Impact,X360,2011.0,Action,Black Bean Games,0.08,0.06,0.0,0.01,0.15,,,,,,,,Kung-Fu High Impact
9868,8934,SNK Arcade Classics Vol. 1,PSP,2008.0,Misc,Ignition Entertainment,0.13,0.0,0.01,0.01,0.15,7.5,14.0,6,SNK Arcade Classics ,,,SNK Playmore,
9869,8935,Darkstalkers Chronicle: The Chaos Tower,PSP,2004.0,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,7.2,17.0,6.0,Darkstalkers,2005-09-05,Nobilis,,Darkstalkers Chronicle : The Chaos Tower
9870,8935,Darkstalkers Chronicle: The Chaos Tower,PSP,2004.0,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,7.2,17.0,6.0,Darkstalkers,2005-09-05,Nobilis,,Darkstalkers Chronicle: The Chaos Tower
9871,8936,NHL 2K10,X360,2009.0,Sports,Take-Two Interactive,0.11,0.02,0.0,0.01,0.15,6.3,4.0,,NHL 2K ,,,Visual Concepts,
9872,8937,Batman Begins,GC,2005.0,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.15,,,,,,,Eurocom,Batman Begins
9873,8938,Toy Story Racer,PS,2001.0,Racing,Activision,0.08,0.06,0.0,0.01,0.15,5.0,1.0,,,,,"""Traveller's Tales""",
9874,8939,Yakuza: Ishin,PS4,2014.0,Action,Sega,0.0,0.0,0.15,0.0,0.15,7.8,4.0,,Yakuza ,,,Sega,
9875,8940,F1 2011,PSV,2011.0,Racing,Codemasters,0.03,0.08,0.01,0.03,0.15,7.3,39.0,8.0,F1 (Codemasters),2011-09-22,,Codemasters Birmingham,F1 2011
9876,8941,Disney's Donald Duck: Goin' Quackers,PS,2000.0,Platform,Ubisoft,0.08,0.06,0.0,0.01,0.15,,,,,,,,
9877,8942,Mobile Suit Gundam: Perfect One Year War,PS,1997.0,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15,7.0,2.0,,Mobile Suit Gundam ,,,Namco,
9878,8943,Galerians,PS,1999.0,Adventure,Crave Entertainment,0.08,0.06,0.0,0.01,0.15,4.0,3.0,4,Galerians ,,Bigben Interactive,Enterbrain,
9879,8944,Crash: Twinsanity,XB,2004.0,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15,7.0,5.0,,Crash Bandicoot ,,,"""Traveller's Tales""",
9880,8945,DrumMania,PS2,2000.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,DrumMania ,,,,DrumMania
9881,8946,Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005.0,Action,Konami Digital Entertainment,0.15,0.0,0.0,0.0,0.15,7.4,5.0,,Yu Gi Oh! ,,,,Yu-Gi-Oh ! Nightmare Troubadour
9882,8947,Code:Realize - Sousei no Himegimi,PSV,2014.0,Adventure,Idea Factory,0.09,0.0,0.03,0.03,0.15,,,5,,,,,
9883,8948,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013.0,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,,,,,,,,
9884,8949,Deus Ex: Mankind Divided,XOne,2016.0,Role-Playing,Square Enix,0.08,0.06,0.0,0.01,0.15,7.4,151.0,9.0,Deus Ex,2016-08-23,,Nixxes,Deus Ex : Mankind Divided
9885,8949,Deus Ex: Mankind Divided,XOne,2016.0,Role-Playing,Square Enix,0.08,0.06,0.0,0.01,0.15,7.4,151.0,9.0,Deus Ex,2016-08-23,,Nixxes,Deus Ex: Mankind Divided
9886,8950,Arena Football,XB,2006.0,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15,,,,Arena Football ,,,EA Sports,
9887,8951,Tamagotchi no Narikiri Channel,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,Tamagotchi ,,,,Tamagotchi no Narikiri Channel
9888,8952,Power Pro Kun Pocket 1+2,GBA,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15,,,,Powerful Pro Baseball ,,,Konami Computer Entertainment Studios,
9889,8953,Rayman Origins,3DS,2012.0,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,8.1,478.0,8.0,Rayman,2011-11-24,,Ubisoft Montpellier,Rayman Origins
