,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur,Mois
11258,GunGriffon Blaze,PS2,2000.0,Simulation,Swing! Entertainment,2000-10-01,Game Arts,6.65,,0.0,0.05,0.04,0.0,0.01,0.11,GunGriffon,Bigben Interactive,10.0
11259,Higurashi no Naku Koro ni Matsuri,PS2,2007.0,Adventure,Alchemist,0000-01-00,Alchemist,,,,0.0,0.0,0.11,0.0,0.11,When they Cry,,1.0
11260,Frontier Gate,PSP,2011.0,Role-Playing,Konami Digital Entertainment,0000-01-00,tri-Ace,,,,0.0,0.0,0.11,0.0,0.11,Frontier Gate,,1.0
11261,Transformers: Devastation,PS3,2015.0,Action,Activision,2015-10-01,PlatinumGames,6.5,6.98,19.5,0.03,0.07,0.0,0.02,0.11,,,10.0
11263,Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,0000-01-00,Sims,,,,0.05,0.04,0.0,0.01,0.11,Top Anglers,,1.0
11264,Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,2011-10-01,Santa Entertainment,6.2,7.4,,0.08,0.02,0.0,0.01,0.11,Gabrielle,,10.0
11265,Michael Phelps: Push the Limit,X360,2011.0,Sports,505 Games,2011-10-01,Blitz Games,4.8,4.1,,0.09,0.01,0.0,0.01,0.11,,Digital Bros.,10.0
11266,Breakout,PS,1999.0,Puzzle,Hasbro Interactive,2000-09-01,Supersonic Software,6.0,,0.0,0.06,0.04,0.0,0.01,0.11,Breakout,,9.0
11267,Frogger: Helmet Chaos,PSP,2005.0,Platform,Konami Digital Entertainment,2006-02-01,Konami Computer Entertainment Hawaii,6.37,7.53,4.0,0.1,0.0,0.0,0.01,0.11,Frogger,Konami,2.0
11268,AKB48+Me,3DS,2012.0,Action,Unknown,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11269,Touch Detective 2 1/2,DS,2007.0,Adventure,505 Games,2007-10-01,BeeWorks,5.85,7.0,2.0,0.09,0.0,0.01,0.01,0.11,Mystery Detective,Digital Bros.,10.0
11270,Alias,PS2,2004.0,Action,Acclaim Entertainment,2004-04-01,Acclaim Studios Cheltenham,4.97,6.88,5.5,0.05,0.04,0.0,0.01,0.11,,Acclaim Entertainment,4.0
11271,Planet 51,X360,2009.0,Action,Sega,2009-11-01,Pyro Studios,4.65,,,0.07,0.03,0.0,0.01,0.11,Plan��te 51,,11.0
11272,Call of Juarez: The Cartel,PC,2011.0,Shooter,Ubisoft,2011-07-01,Ubisoft,4.53,4.03,15.5,0.05,0.05,0.0,0.01,0.11,Call of Juarez,,7.0
11274,Sakura Taisen Hanagumi Tsuushin,SAT,1997.0,Misc,Sega,0000-01-00,Red Entertainment,,,,0.0,0.0,0.11,0.0,0.11,Sakura Taisen,,1.0
11275,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004.0,Adventure,Nintendo,0000-01-00,Nintendo,,,,0.0,0.0,0.11,0.0,0.11,Famicom Detective Club,,1.0
11276,Tornado Outbreak,Wii,2009.0,Action,Konami Digital Entertainment,2009-09-01,Loose Cannon Studios,7.1,6.85,2.0,0.1,0.0,0.0,0.01,0.11,,,9.0
11277,Pimp My Ride,X360,2006.0,Racing,Activision,2007-03-01,Eutechnyx,3.43,3.17,14.0,0.1,0.01,0.0,0.01,0.11,Pimp My Ride,,3.0
11278,Michael Jackson: The Experience,PSV,2011.0,Misc,Ubisoft,0000-01-00,,6.0,5.6,13.0,0.05,0.04,0.0,0.02,0.11,Experience,,1.0
11280,Astro Boy: The Video Game,Wii,2009.0,Action,D3Publisher,2009-12-01,High Voltage Software,4.65,2.9,5.0,0.1,0.0,0.0,0.01,0.11,Astro le Petit Robot,,12.0
11281,Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,Simon & Schuster Interactive,0000-01-00,Hyptonix,,,,0.08,0.02,0.0,0.0,0.11,Outlaw,,1.0
11282,NHL Rivals 2004,XB,2003.0,Sports,Microsoft Game Studios,2003-11-01,Microsoft Game Studios,6.5,8.8,,0.08,0.02,0.0,0.0,0.11,,,11.0
11283,X-Men: Next Dimension,XB,2002.0,Fighting,Activision,2002-10-01,Paradox Development,5.6,5.0,3.0,0.08,0.02,0.0,0.0,0.11,,,10.0
11284,Tyco RC: Assault with a Battery,PS,1999.0,Racing,Syscom,0000-01-00,Lucky Chicken,,,,0.06,0.04,0.0,0.01,0.11,Tyco R/C,,1.0
11285,Felony 11-79,PS,1997.0,Racing,ASCII Entertainment,0000-01-00,Climax Entertainment (JP),,,,0.06,0.04,0.0,0.01,0.11,Runabout,,1.0
11286,Terraria,PSV,2013.0,Action,Screenlife,2011-05-01,Engine Software,7.83,8.1,39.0,0.0,0.01,0.09,0.0,0.11,Terraria,,5.0
11287,Classic Road,SNES,1993.0,Sports,Victor Interactive,0000-01-00,,5.0,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11288,Bust-A-Move DS,DS,2005.0,Puzzle,505 Games,2005-12-01,Happy Happening,6.75,6.3,7.0,0.08,0.02,0.0,0.01,0.11,Bust-A-Move,Codemasters,12.0
11289,Nicktoons: Unite!,DS,2006.0,Adventure,THQ,2006-01-01,Climax Group,5.3,7.0,,0.1,0.0,0.0,0.01,0.11,,,1.0
11290,SimAnimals Africa,DS,2009.0,Simulation,Electronic Arts,2009-10-01,Electronic Arts,5.25,6.3,7.0,0.08,0.02,0.0,0.01,0.11,Sim,,10.0
11291,Death Jr.: Root of Evil,Wii,2008.0,Platform,Eidos Interactive,2008-05-01,Backbone Entertainment,6.55,6.85,3.0,0.1,0.0,0.0,0.01,0.11,Death,,5.0
11292,One Piece: Burning Blood,PSV,2016.0,Fighting,Namco Bandai Games,2016-06-01,Spike Chunsoft,5.9,6.18,5.5,0.0,0.03,0.07,0.01,0.11,One Piece,,6.0
11294,Panzer Dragoon Saga,SAT,1997.0,Role-Playing,Sega,0000-01-00,Team Andromeda,,9.0,24.0,0.0,0.0,0.11,0.0,0.11,Panzer Dragoon,,1.0
11295,Sonic Generations,PC,2011.0,Platform,Sega,2011-11-01,Sega,7.32,7.93,170.5,0.02,0.07,0.0,0.02,0.11,Sonic,,11.0
11296,Mushroom Men: Rise of the Fungi,DS,2008.0,Action,SouthPeak Games,2008-12-01,Red Fly Studio,4.5,6.1,,0.1,0.0,0.0,0.01,0.11,Mushroom Men,cdv Software Entertainment,12.0
11297,Shining Ark,PSP,2013.0,Role-Playing,Sega,0000-01-00,Media Vision,,5.5,2.0,0.0,0.0,0.11,0.0,0.11,Shining,,1.0
11298,The Scorpion King: Rise of the Akkadian,GC,2002.0,Action,Universal Interactive,2002-09-01,Point of View,3.95,5.6,,0.08,0.02,0.0,0.0,0.11,The Mummy,Vivendi Games,9.0
11299,Backyard Baseball '10,Wii,2009.0,Sports,Atari,2009-03-01,Farsight Studios,,,,0.1,0.0,0.0,0.01,0.11,Backyard Sports,,3.0
11300,Transformers: Beast Wars Transmetals,PS,2000.0,Fighting,BAM! Entertainment,0000-01-00,Takara,,,,0.06,0.04,0.0,0.01,0.11,TransFormers,,1.0
11301,GiFTPiA,GC,,Role-Playing,Unknown,0000-01-00,Skip,,7.0,2.0,0.0,0.0,0.11,0.0,0.11,,,1.0
11302,Animal Planet: Vet Life,DS,2009.0,Simulation,Activision,2009-09-01,Activision,,,,0.1,0.0,0.0,0.01,0.11,Animal Planet,,9.0
11303,My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,0000-01-00,,,7.0,2.0,0.0,0.0,0.11,0.0,0.11,Ore no Im��to,,1.0
11304,Silly Bandz: Play The Craze,DS,2010.0,Puzzle,Deep Silver,0000-01-00,,,,,0.1,0.0,0.0,0.01,0.11,,,1.0
11305,Charlie and the Chocolate Factory,XB,2005.0,Adventure,Global Star,2005-07-01,High Voltage Software,4.45,2.0,,0.08,0.02,0.0,0.0,0.11,,Take Two Interactive,7.0
11306,Constantine,PS2,2005.0,Action,SCi,2005-02-01,Bits Studios,4.77,5.95,8.0,0.05,0.04,0.0,0.01,0.11,,,2.0
11307,Where the Wild Things Are,PS3,2009.0,Platform,Warner Bros. Interactive Entertainment,2009-10-01,Griptonite Games,5.3,5.15,2.0,0.09,0.01,0.0,0.01,0.11,,,10.0
11308,Dynasty Tactics 2,PS2,2003.0,Strategy,Tecmo Koei,2003-09-01,Koei,7.8,7.6,3.0,0.05,0.04,0.0,0.01,0.11,Dynasty Tactics,,9.0
11309,Real World Golf,PS2,2005.0,Sports,Valcon Games,2006-04-01,Aqua Pacific,7.3,6.3,,0.05,0.04,0.0,0.01,0.11,Real World Golf,,4.0
11310,Winter Heat,SAT,1996.0,Sports,Sega,0000-01-00,Sega Sports,,7.8,6.0,0.0,0.0,0.11,0.0,0.11,Athlete Kings,,1.0
11311,Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004.0,Platform,Electronic Arts,2004-10-01,Krome Studios,5.45,8.6,2.0,0.08,0.02,0.0,0.0,0.11,Ty,,10.0
11312,Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,2016-02-01,Media.Vision,7.5,7.5,6.5,0.0,0.09,0.0,0.02,0.11,Digimon,,2.0
11313,JU-ON: The Grudge,Wii,2009.0,Action,Rising Star Games,2009-10-01,FeelPlus,3.9,4.75,1.0,0.08,0.01,0.01,0.01,0.11,,Namco Bandai Partners,10.0
11314,Defender,GC,2002.0,Misc,Midway Games,2002-11-01,Inevitable Entertainment,6.6,7.2,,0.08,0.02,0.0,0.0,0.11,Defender,Nobilis,11.0
11315,Deca Sports DS,DS,2009.0,Sports,Hudson Soft,2010-03-01,Hudson Soft,4.35,,,0.08,0.02,0.0,0.01,0.11,Sports Island,Konami,3.0
11316,The Polar Express,GC,2004.0,Adventure,THQ,2004-11-01,Blue Tongue Entertainment,4.0,4.7,,0.08,0.02,0.0,0.0,0.11,,,11.0
11317,BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,2002-11-01,"Z-Axis, Ltd.",4.9,6.1,3.0,0.08,0.02,0.0,0.0,0.11,,,11.0
11318,ATV: Quad Frenzy,DS,2005.0,Racing,Majesco Entertainment,2005-11-01,Skyworks Technologies,3.5,,,0.1,0.0,0.0,0.01,0.11,,THQ,11.0
11319,Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,Nippon Ichi Software,2014-10-01,Acquire,4.23,6.83,12.0,0.05,0.01,0.04,0.01,0.11,Akiba's Trip,,10.0
11321,Backyard NFL Football '10,X360,2009.0,Sports,Atari,0000-01-00,Humongous Entertainment,,,,0.1,0.0,0.0,0.01,0.11,Backyard Sports,,1.0
11322,The Godfather: Mob Wars,PSP,2006.0,Action,Electronic Arts,2006-09-01,Page 44 Studios,4.95,7.1,10.0,0.09,0.01,0.0,0.01,0.11,Le Parrain,Electronic Arts,9.0
11323,Lady Sia,GBA,2001.0,Platform,TDK Mediactive,2001-10-01,RFX Interactive,7.3,6.85,3.0,0.08,0.03,0.0,0.0,0.11,,,10.0
11324,Rock Band: Metal Track Pack,PS2,2009.0,Misc,MTV Games,2009-09-01,Harmonix Music Systems,,,,0.05,0.04,0.0,0.01,0.11,Rock Band,Electronic Arts,9.0
11325,Rocky Balboa,PSP,2007.0,Sports,Ubisoft,2007-03-01,Ubisoft,5.4,6.3,1.0,0.01,0.09,0.0,0.01,0.11,Rocky,,3.0
11326,The Lord of the Rings: Conquest,DS,2009.0,Action,Electronic Arts,2009-01-01,Artificial Mind and Movement,6.1,7.1,,0.09,0.01,0.0,0.01,0.11,,,1.0
11327,PriPara Mezase! Idol Grand Prix No.1!,3DS,2015.0,Misc,Takara Tomy,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,Pretty Rhythm,,1.0
11328,National Geographic Challenge!,Wii,2011.0,Misc,Black Bean Games,2011-04-01,Gusto Games,6.0,7.5,1.0,0.08,0.02,0.0,0.01,0.11,,,4.0
11329,Robotech: Invasion,PS2,2004.0,Shooter,Global Star,2005-01-01,Vicious Cycle,5.07,7.02,2.5,0.05,0.04,0.0,0.01,0.11,Robotech,,1.0
11330,Hole in the Wall: Deluxe Edition,X360,2011.0,Misc,Ubisoft,2011-11-01,Ubisoft,,,,0.1,0.0,0.0,0.01,0.11,,,11.0
11331,Dr. Seuss' The Cat in the Hat,XB,2003.0,Misc,Vivendi Games,0000-01-00,Game Titan,,,,0.08,0.02,0.0,0.0,0.11,Le Chat chapeautǸ,,1.0
11332,Rogue Warrior,X360,2009.0,Shooter,Bethesda Softworks,2009-11-01,Rebellion,3.4,3.75,29.0,0.09,0.01,0.0,0.01,0.11,,Namco Bandai Partners,11.0
11333,Irozuki Tingle no Koi no Balloon Trip,DS,2009.0,Adventure,Nintendo,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11334,Master of the Monster Lair,DS,2007.0,Role-Playing,Rising Star Games,2008-10-01,Global A,5.6,6.65,11.0,0.1,0.0,0.0,0.01,0.11,Wonder Boy,Sega,10.0
11335,Hellboy: The Science of Evil,X360,2008.0,Action,Konami Digital Entertainment,2008-09-01,Krome Studios,3.63,4.7,9.0,0.1,0.0,0.0,0.01,0.11,Hellboy,Konami,9.0
11337,Murdered: Soul Suspect,X360,2014.0,Action,Square Enix,2014-06-01,Airtight Games,5.75,6.9,37.5,0.06,0.04,0.0,0.01,0.11,,,6.0
11339,X-Men: Destiny,Wii,2011.0,Action,Activision,2011-09-01,Silicon Knights,3.6,3.8,4.0,0.08,0.02,0.0,0.01,0.11,X-Men,,9.0
11340,Starsky & Hutch,GC,2003.0,Racing,BAM! Entertainment,2004-08-01,Supersonic Software,5.9,,,0.08,0.02,0.0,0.0,0.11,Starsky & Hutch,Vivendi Games,8.0
11341,Final Fantasy I & II,NES,1994.0,Role-Playing,Square,0000-01-00,Square Enix,7.0,7.2,66.0,0.0,0.0,0.11,0.0,0.11,Final Fantasy,,1.0
11342,Rugby 15,PS4,2015.0,Sports,Bigben Interactive,2014-11-01,HB Studios Multimedia,2.7,2.55,19.0,0.03,0.06,0.0,0.02,0.11,,,11.0
11343,Langrisser IV,SAT,1997.0,Strategy,NCS,0000-01-00,NCS Masaya,,,,0.0,0.0,0.11,0.0,0.11,Langrisser,,1.0
11344,FoxKids.com Micro Maniacs Racing,PS,2000.0,Racing,Codemasters,0000-01-00,,,,,0.06,0.04,0.0,0.01,0.11,,,1.0
11345,Cats & Dogs: The Revenge of Kitty Galore,DS,2010.0,Action,505 Games,0000-01-00,,,,,0.1,0.0,0.0,0.01,0.11,,Digital Bros.,1.0
11346,Hexen: Beyond Heretic,PS,1997.0,Shooter,GT Interactive,0000-01-00,Software Creations,,6.4,15.0,0.06,0.04,0.0,0.01,0.11,Heretic,GT Interactive Software,1.0
11347,Arcade Party Pak,PS,1999.0,Misc,Midway Games,0000-01-00,Digital Eclipse,,,,0.06,0.04,0.0,0.01,0.11,,,1.0
11348,Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004.0,Puzzle,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,Mojipittan,,1.0
11349,Yamaha Supercross,DS,2009.0,Racing,Zoo Digital Publishing,2009-05-01,Coyote Console,2.5,4.0,3.0,0.1,0.0,0.0,0.01,0.11,,Tradewest Games,5.0
11350,Picross 3D 2,3DS,2015.0,Puzzle,Nintendo,0000-01-00,HAL Laboratory,8.0,8.3,14.0,0.0,0.0,0.11,0.0,0.11,Nintendo Picross,,1.0
11351,Hitman Trilogy,PS2,2007.0,Action,Eidos Interactive,2007-06-01,Eidos Interactive,,7.7,11.0,0.05,0.04,0.0,0.01,0.11,Hitman,,6.0
11352,Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006.0,Misc,Square Enix,0000-01-00,,,8.3,3.0,0.0,0.0,0.11,0.0,0.11,,,1.0
11353,Tetris Evolution,X360,2007.0,Puzzle,THQ,2007-03-01,Mass Media,5.2,6.5,2.0,0.08,0.02,0.0,0.01,0.11,Tetris,,3.0
11354,Patapon 2,PSP,2008.0,Misc,Sony Computer Entertainment,2009-05-01,SCE Japan Studio,7.55,7.9,16.0,0.0,0.03,0.06,0.01,0.11,Patapon,,5.0
11355,Cabela's Adventure Camp,PS3,2011.0,Misc,Activision,2011-11-01,Activision,4.0,4.5,3.0,0.06,0.03,0.0,0.02,0.11,"""Cabela's """,,11.0
11356,Attack of the Movies 3D,Wii,2010.0,Shooter,Majesco Entertainment,2010-05-01,Majesco Games,3.9,,,0.1,0.0,0.0,0.01,0.11,,,5.0
11357,Railroad Tycoon II,PS,1999.0,Strategy,PopTop Software,0000-01-00,Tremor Entertainment,7.0,8.4,7.0,0.06,0.04,0.0,0.01,0.11,Railroad Tycoon,,1.0
11358,Angry Birds Star Wars,WiiU,2013.0,Strategy,Activision,2012-11-01,Exient Entertainment,7.25,5.68,5.5,0.06,0.04,0.0,0.01,0.11,Star Wars,,11.0
11359,Hysteria Hospital: Emergency Ward,DS,2009.0,Action,Oxygen Interactive,2009-04-01,Gameinvest,3.75,,0.0,0.1,0.0,0.0,0.01,0.11,,,4.0
11360,The Cheetah Girls: Pop Star Sensations,DS,2007.0,Misc,Disney Interactive Studios,2007-10-01,Handheld Games,,,,0.1,0.0,0.0,0.01,0.11,The Cheetah Girls,,10.0
11361,Transformer: Rise of the Dark Spark,XOne,2014.0,Action,Activision,0000-01-00,Edge of Reality,,,,0.06,0.03,0.0,0.01,0.11,TransFormers,,1.0
11362,Kirarin * Revolution: Kira Kira Idol Audition,DS,2006.0,Simulation,Konami Digital Entertainment,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11363,Ranma 1/2: Akanekodan Teki Hihou,SNES,1993.0,Role-Playing,TOHO,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11364,The BIGS,PSP,2007.0,Sports,Take-Two Interactive,2007-06-01,Blue Castle Games,7.2,,,0.1,0.0,0.0,0.01,0.11,The BIGS,,6.0
11365,Blades of Time,X360,2012.0,Action,Konami Digital Entertainment,2012-03-01,Gaijin Entertainment,4.23,5.55,22.0,0.07,0.03,0.0,0.01,0.11,Blades,,3.0
11366,My Boyfriend,DS,2008.0,Simulation,DTP Entertainment,2009-09-01,Eidos Interactive,,9.5,,0.1,0.0,0.0,0.01,0.11,,,9.0
11367,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013.0,Puzzle,Warner Bros. Interactive Entertainment,2013-09-01,5TH Cell,7.1,5.9,2.0,0.1,0.0,0.0,0.01,0.11,Scribblenauts,,9.0
11368,Victory Zone,PS,1995.0,Misc,Sony Computer Entertainment,0000-01-00,Spike Chunsoft,6.0,5.4,20.0,0.0,0.0,0.1,0.01,0.11,Jump Super Stars,,1.0
11369,Rengoku: The Tower of Purgatory,PSP,2005.0,Action,Konami Digital Entertainment,2005-04-01,Neverland,4.3,6.55,1.0,0.1,0.0,0.0,0.01,0.11,Rengoku,Konami,4.0
11370,Goal Storm '97,PS,1996.0,Sports,Konami Digital Entertainment,0000-01-00,,,,,0.01,0.0,0.09,0.01,0.11,,,1.0
11371,Paws & Claws: Pet Resort,Wii,2009.0,Simulation,THQ,2009-01-01,THQ,,,,0.1,0.0,0.0,0.01,0.11,Paws & Claws,,1.0
11372,Dynasty Warriors Advance,GBA,2005.0,Action,Nintendo,2005-08-01,Koei,4.3,6.25,1.0,0.08,0.03,0.0,0.0,0.11,Dynasty Warriors,,8.0
11373,Pachi-Slot Aruze Oukoku 3,PS,2000.0,Misc,Aruze Corp,0000-01-00,Aruze,,,,0.0,0.0,0.1,0.01,0.11,Pachi-Slot Aruze Kingdom,,1.0
11374,Science Papa,DS,2009.0,Misc,Activision,2009-07-01,Activision,,,,0.09,0.01,0.0,0.01,0.11,Fun4All,,7.0
11375,Tournament Pool,Wii,2009.0,Sports,Destineer,2009-05-01,Destineer,,,,0.1,0.0,0.0,0.01,0.11,Real Pool,,5.0
11376,Cabela's North American Adventures,X360,2010.0,Sports,Activision,2010-09-01,FUN Labs,5.1,8.1,,0.1,0.0,0.0,0.01,0.11,"""Cabela's """,,9.0
11377,Aqua Aqua,PS2,2000.0,Puzzle,3DO,2001-01-01,Zed Two Limited,7.9,,,0.05,0.04,0.0,0.01,0.11,Wetrix,,1.0
11378,Viewtiful Joe: Double Trouble!,DS,2005.0,Action,Capcom,2005-11-01,Clover Studio,7.15,7.05,28.0,0.08,0.0,0.01,0.01,0.11,Viewtiful Joe,Nintendo,11.0
11379,Tom Clancy's Splinter Cell: Conviction,PC,2010.0,Action,Ubisoft,2010-04-01,Ubisoft Montreal,7.65,6.2,169.0,0.0,0.08,0.0,0.02,0.11,,,4.0
11380,Mega Man Zero 4,GBA,2005.0,Platform,Capcom,2005-09-01,Inti,7.85,8.52,9.5,0.08,0.03,0.0,0.0,0.11,,Nobilis,9.0
11381,Black Bass with Blue Marlin,PS,1999.0,Sports,Starfish,0000-01-00,,,,,0.06,0.04,0.0,0.01,0.11,,,1.0
11382,Mega Man Battle Network 5: Double Team DS (JP sales),DS,2005.0,Role-Playing,Nintendo,0000-01-00,Capcom,,7.0,1.0,0.0,0.0,0.11,0.0,0.11,,Nobilis,1.0
11383,Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006.0,Adventure,Aqua Plus,0000-01-00,Flight-Plan,,,,0.0,0.0,0.11,0.0,0.11,Utawarerumono,,1.0
11384,Hyper Formation Soccer,PS,1995.0,Sports,Human Entertainment,0000-01-00,Human Entertainment,,,,0.0,0.0,0.1,0.01,0.11,Formation Soccer,,1.0
11385,Tiger Woods PGA Tour 06,GC,2005.0,Sports,Electronic Arts,2005-09-01,EA Sports,8.2,5.8,,0.08,0.02,0.0,0.0,0.11,,,9.0
11386,Jupiter Strike,PS,1994.0,Shooter,Acclaim Entertainment,0000-01-00,,,,,0.06,0.04,0.0,0.01,0.11,,,1.0
11387,Sudokuro,DS,2007.0,Puzzle,Crave Entertainment,2007-05-01,FrontLine Studios,,,,0.1,0.0,0.0,0.01,0.11,,,5.0
11388,BlazBlue: Continuum Shift II,3DS,2011.0,Fighting,PQube,2011-10-01,Arc System Works,7.13,6.32,12.0,0.05,0.01,0.04,0.01,0.11,Blazblue,,10.0
11389,Saigo no Yakusoku no Monogatari,PSP,2011.0,Role-Playing,Unknown,0000-01-00,,,7.0,1.0,0.0,0.0,0.11,0.0,0.11,,,1.0
11390,The Book of Unwritten Tales,PC,2009.0,Adventure,HMH Interactive,2010-11-01,KING Art,8.1,7.68,6.0,0.0,0.08,0.0,0.02,0.11,,,11.0
11391,Metal Gear Solid Integral,PS,1999.0,Adventure,Konami Digital Entertainment,0000-01-00,Konami,7.0,8.6,18.0,0.0,0.0,0.1,0.01,0.11,Metal Gear,,1.0
11392,Naruto Shippuden 3D: The New Era,3DS,2011.0,Action,505 Games,0000-01-00,,4.0,5.3,3.0,0.0,0.04,0.06,0.01,0.11,Naruto,Digital Bros.,1.0
11394,FIFA World Cup Germany 2006,PSP,2006.0,Sports,Electronic Arts,2006-05-01,EA Canada,5.6,5.7,3.0,0.1,0.0,0.0,0.01,0.11,FIFA EA Sports,Electronic Arts,5.0
11395,Disney's Chicken Little: Ace In Action,Wii,,Shooter,Disney Interactive Studios,2006-12-01,Avalanche Software,7.2,7.8,,0.1,0.0,0.0,0.01,0.11,Chicken Little,,12.0
11396,Lego Star Wars: The Force Awakens,X360,2016.0,Action,Warner Bros. Interactive Entertainment,2016-06-01,TT Games,7.0,7.45,21.0,0.04,0.06,0.0,0.01,0.11,,,6.0
11397,Reign of Fire,GC,2002.0,Shooter,BAM! Entertainment,2002-11-01,Kuju Entertainment,4.2,5.35,2.0,0.08,0.02,0.0,0.0,0.11,,Nobilis,11.0
11398,Rock Band Track Pack: Classic Rock,PS3,2009.0,Misc,MTV Games,2009-05-01,Harmonix Music Systems,,,,0.1,0.0,0.0,0.01,0.11,Rock Band,,5.0
11399,Rock Revolution,DS,2008.0,Misc,Konami Digital Entertainment,2008-10-01,Zoe Mode,3.0,4.65,2.0,0.1,0.0,0.0,0.01,0.11,,,10.0
11400,Big League Sports: Summer,DS,2009.0,Sports,Activision,2009-06-01,Koolhaus Games,,,,0.1,0.0,0.0,0.01,0.11,Big League Sports,,6.0
11401,Tom Clancy's HAWX 2,Wii,2010.0,Action,Ubisoft,2010-09-01,Ubisoft,5.23,6.18,7.5,0.07,0.03,0.0,0.01,0.11,Tom Clancy,,9.0
11402,Sakura Wars,DC,2000.0,Adventure,Sega,0000-01-00,Sega,,,,0.0,0.0,0.11,0.0,0.11,Sakura Taisen,,1.0
11403,Jampack Volume 14 (RP-T),PS2,2006.0,Misc,Sony Computer Entertainment,0000-01-00,,,,,0.05,0.04,0.0,0.01,0.11,,,1.0
11404,Pro Yakyuu Team o Tsukurou! 2,DS,2009.0,Sports,Sega,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11405,Mace Griffin: Bounty Hunter,XB,2003.0,Shooter,Electronic Arts,2003-06-01,Warthog,5.7,6.4,1.0,0.08,0.02,0.0,0.0,0.11,,Vivendi Games,6.0
11407,Martian Gothic: Unification,PS,2001.0,Adventure,Take-Two Interactive,2001-11-01,Coyote Developments,6.4,5.9,1.0,0.06,0.04,0.0,0.01,0.11,,Take Two Interactive,11.0
11408,Woody Woodpecker Racing,PS,1999.0,Racing,Konami Digital Entertainment,0000-01-00,Syrox Developments,2.0,4.0,1.0,0.06,0.04,0.0,0.01,0.11,Woody Woodpecker,,1.0
11409,Final Fantasy XII International Zodiac Job System,PS2,2007.0,Role-Playing,Square Enix,0000-01-00,Squaresoft,,7.5,6.0,0.0,0.0,0.11,0.0,0.11,Final Fantasy,,1.0
11410,Barbie in The 12 Dancing Princesses,DS,2007.0,Adventure,Activision,2007-01-01,WayForward,,,,0.09,0.01,0.0,0.01,0.11,Barbie,,1.0
11411,Fight Club,XB,2004.0,Fighting,Vivendi Games,2004-11-01,Genuine Games,2.85,2.95,1.0,0.08,0.02,0.0,0.0,0.11,,,11.0
11412,Carnage Heart,PS,1995.0,Strategy,Sony Computer Entertainment,0000-01-00,Artdink Corporation,,,,0.01,0.01,0.09,0.01,0.11,Carnage Heart,,1.0
11413,"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998.0,Adventure,Take-Two Interactive,0000-01-00,Rockstar Toronto,,5.7,7.0,0.06,0.04,0.0,0.01,0.11,Grand Theft Auto (GTA),Take Two Interactive,1.0
11414,Kamen Rider: Climax Heroes,PS2,2009.0,Fighting,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,Kamen Rider,,1.0
11415,Robotics;Notes,PS3,2012.0,Adventure,5pb,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,,,1.0
11416,Disney Channel Collection Vol. 1,GBA,2004.0,Misc,,0000-01-00,,,,,0.08,0.03,0.0,0.0,0.11,,,1.0
11417,Total Immersion Racing,PS2,2002.0,Racing,Empire Interactive,2002-10-01,Razorworks Studios,5.91,6.77,1.5,0.05,0.04,0.0,0.01,0.11,,Vivendi Games,10.0
11418,Virtual Hydlide,SAT,1995.0,Role-Playing,Sega,0000-01-00,T&E Soft,,4.2,5.0,0.0,0.0,0.11,0.0,0.11,Hydlide,Sega,1.0
11419,World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006.0,Misc,Activision,2007-02-01,Left Field Productions,7.0,6.9,4.5,0.1,0.0,0.0,0.01,0.11,World Series of Poker,Digital Bros.,2.0
11420,Tales of the World: Reve Unitia,3DS,2014.0,Role-Playing,Namco Bandai Games,0000-01-00,,,,,0.0,0.0,0.11,0.0,0.11,Tales of,,1.0
