,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName,Name_alphanum,JV_Name,JV_plateforms,JV_reviews,JV_launch_year,JV_launch_date,JV_journalist_rate,JV_players_rates,JV_Name_alphanum
10799,Breath of Fire,GBA,2001.0,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0,0.22,7.6,32.0,8,Breath of Fire ,,Capcom Eurosoft,Capcom,,breathoffire,Breath of Fire,GBA,32 avis,2002,2002-03-01,7.0,7.65,breathoffire
10800,Ragnarok DS,DS,2008.0,Role-Playing,GungHo,0.1,0.0,0.11,0.01,0.22,7.1,9.0,,Ragnarok ,,,Gravity,,ragnarokds,,,,,,,,
10801,Ford vs. Chevy,PS2,2005.0,Racing,Global Star,0.11,0.09,0.0,0.03,0.22,,,,,,,Eutechnyx,,fordvschevy,,,,,,,,
10802,NCAA Football 2005,GC,2004.0,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22,,,,NCAA ,,,EA Sports,,ncaafootball2005,,,,,,,,
10803,Hamtaro: Ham-Ham Games,GBA,2004.0,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22,3.0,1.0,5,Hamtaro ,,,Alpha Dream,,hamtarohamhamgames,,,,,,,,
10804,Danny Phantom: The Ultimate Enemy,GBA,2005.0,Action,THQ,0.16,0.06,0.0,0.0,0.22,,,,Danny Phantom ,,,,Danny Phantom : The Ultimate Enemy,dannyphantomtheultimateenemy,,,,,,,,
10805,Petz Rescue: Endangered Paradise,DS,2008.0,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22,,,,,,,,,petzrescueendangeredparadise,,,,,,,,
10806,MotoGP 09/10,PS3,2010.0,Racing,Capcom,0.05,0.13,0.0,0.04,0.22,4.5,2.0,5.0,MotoGP,2010-03-30,,Monumental Games,MotoGP 09/10,motogp0910,MotoGP 09/10,PS3,48 avis,2010,2010-03-01,7.5,5.25,motogp0910
10807,Rune Factory: Tides of Destiny,PS3,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.01,0.22,7.1,9.0,,,,,Neverland,,runefactorytidesofdestiny,,,,,,,,
10808,A Boy and His Blob,Wii,2009.0,Platform,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22,7.0,27.0,7,A Boy and his Blob ,,,WayForward,,aboyandhisblob,A Boy and his Blob,Wii,21 avis,2006,2006-11-01,8.0,8.25,aboyandhisblob
10809,Battleborn,PS4,2016.0,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22,5.3,8.0,5.0,,2016-05-09,,Gearbox Software,Battleborn,battleborn,Battleborn,PS4,22 avis,2016,2016-05-01,6.5,8.85,battleborn
10810,Move Fitness,PS3,,Sports,Sony Computer Entertainment,0.0,0.17,0.0,0.05,0.22,6.0,1.0,,,,,,Move Fitness,movefitness,,,,,,,,
10811,Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013.0,Role-Playing,Tecmo Koei,0.06,0.04,0.1,0.02,0.22,7.5,11.0,,Atelier ,,,Gust,,ateliereschalogyalchemistsofthedusksky,Atelier Escha & Logy : Alchemists of the Dusk Sky,PS3,17 avis,2014,2014-03-01,8.0,8.45,ateliereschalogyalchemistsofthedusksky
10812,Hidden Mysteries: Buckingham Palace,DS,2010.0,Puzzle,Avanquest,0.13,0.07,0.0,0.02,0.22,,,,Hidden Mysteries ,,,Gunnar Games,,hiddenmysteriesbuckinghampalace,Hidden Mysteries : Buckingham Palace,DS,1 avis,2010,2010-12-01,3.5,5.0,hiddenmysteriesbuckinghampalace
10813,Crazy Climber,2600,1981.0,Action,Atari,0.21,0.01,0.0,0.0,0.22,,,,,,,,Crazy Climber,crazyclimber,,,,,,,,
10814,Super Adventure Island,SNES,1992.0,Platform,Hudson Soft,0.0,0.0,0.22,0.0,0.22,6.6,5.0,,Adventure Island ,,,Hudson Soft,,superadventureisland,,,,,,,,
10815,Bust-A-Move 4,PS,1998.0,Puzzle,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,7.6,10.0,,,,,Taito Corporation,,bustamove4,,,,,,,,
10817,The Legend of Spyro: The Eternal Night,Wii,2007.0,Platform,Vivendi Games,0.18,0.02,0.0,0.02,0.22,6.2,6.0,3.0,Spyro,2007-11-17,Vivendi Games,Krome Studios,The Legend of Spyro : The Eternal Night,thelegendofspyrotheeternalnight,The Legend of Spyro : The Eternal Night,Wii,25 avis,2007,2007-11-01,6.0,6.35,thelegendofspyrotheeternalnight
10819,The Legend of Spyro: The Eternal Night,Wii,2007.0,Platform,Vivendi Games,0.18,0.02,0.0,0.02,0.22,6.2,6.0,3.0,Spyro,2007-11-17,Vivendi Games,Krome Studios,The Legend of Spyro: The Eternal Night,thelegendofspyrotheeternalnight,The Legend of Spyro : The Eternal Night,Wii,25 avis,2007,2007-11-01,6.0,6.35,thelegendofspyrotheeternalnight
10820,NFL Quarterback Club 97,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,,,,NFL Quarterback Club ,,,Iguana Entertainment,,nflquarterbackclub97,,,,,,,,
10822,Rampage: Total Destruction,Wii,2006.0,Action,Midway Games,0.19,0.01,0.0,0.02,0.22,0.0,0.0,4.0,Rampage,2007-02-09,,,Rampage : Total Destruction,rampagetotaldestruction,Rampage : Total Destruction,Wii,15 avis,2006,2006-04-01,4.5,5.6,rampagetotaldestruction
10824,Rampage: Total Destruction,Wii,2006.0,Action,Midway Games,0.19,0.01,0.0,0.02,0.22,0.0,0.0,4.0,Rampage,2007-02-09,,,Rampage: Total Destruction,rampagetotaldestruction,Rampage : Total Destruction,Wii,15 avis,2006,2006-04-01,4.5,5.6,rampagetotaldestruction
10825,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004.0,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,,,,,,,,,galacticwrestlingfeaturingultimatemuscle,,,,,,,,
10826,Petz: Horse Club,Wii,2008.0,Misc,Ubisoft,0.2,0.0,0.0,0.02,0.22,,,3,,,,,Alexandra Ledermann : La Colline aux Chevaux Sauvages,petzhorseclub,,,,,,,,
10827,Dino Stalker,PS2,2002.0,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,8.0,1.0,5.0,Gun Survivor,2002-09-19,,Capcom,Dino Stalker,dinostalker,,,,,,,,
10828,Rapala's Fishing Frenzy,Wii,2008.0,Sports,Activision,0.2,0.0,0.0,0.02,0.22,7.0,2.0,,Rapala ,,,Fun Labs,,rapalasfishingfrenzy,,,,,,,,
10829,Mobile Suit Gundam Seed,PS2,2003.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,7.0,1.0,,Mobile Suit Gundam ,,,Bandai,Mobile Suit Gundam Seed,mobilesuitgundamseed,,,,,,,,
10830,Shinobi,3DS,2011.0,Platform,Sega,0.14,0.07,0.0,0.02,0.22,6.8,24.0,6.5,Shinobi,2011-11-14,,,,shinobi,,,,,,,,
10831,Shinobi,3DS,2011.0,Platform,Sega,0.14,0.07,0.0,0.02,0.22,6.8,24.0,6.5,Shinobi,2011-11-14,,,Shinobi,shinobi,,,,,,,,
10832,Puss in Boots,Wii,2011.0,Action,THQ,0.19,0.01,0.0,0.01,0.22,6.0,2.0,,,,,Halfbrick,,pussinboots,,,,,,,,
10835,Tony Hawk's Downhill Jam,DS,2006.0,Sports,Activision,0.2,0.0,0.0,0.02,0.22,4.8,4.0,4.5,Tony Hawk,2007-07-18,Activision,Toys for Bob,Tony Hawk's Downhill Jam,tonyhawksdownhilljam,Tony Hawk's Downhill Jam,DS,21 avis,2006,2006-11-01,7.0,8.4,tonyhawksdownhilljam
10836,Mega Man Zero 3,GBA,2004.0,Platform,Capcom,0.16,0.06,0.0,0.0,0.22,8.2,6.0,,,,,Inti Creates,,megamanzero3,Mega Man Zero 3,GBA,14 avis,2004,2004-09-01,7.5,8.1,megamanzero3
10837,LEGO The Lord of the Rings,PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22,6.7,64.0,7,,,,"""Traveller's Tales""",,legothelordoftherings,,,,,,,,
10838,Hitman: HD Trilogy,PS3,2013.0,Action,Square Enix,0.07,0.1,0.0,0.04,0.22,7.7,11.0,,Hitman ,,,,Hitman Trilogy,hitmanhdtrilogy,,,,,,,,
10839,Aliens vs Predator: Requiem,PSP,2007.0,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22,4.0,1.0,3,,,,Rebellion,,aliensvspredatorrequiem,,,,,,,,
10840,Castlevania: Lords of Shadow 2,PS3,2014.0,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22,6.8,72.0,7.0,Castlevania,2014-02-25,,MercurySteam,Castlevania : Lords of Shadow 2,castlevanialordsofshadow2,Castlevania : Lords of Shadow 2,PS3,98 avis,2014,2014-02-01,8.0,7.5,castlevanialordsofshadow2
10841,Castlevania: Lords of Shadow 2,PS3,2014.0,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22,6.8,72.0,7.0,Castlevania,2014-02-25,,MercurySteam,Castlevania: Lords of Shadow 2,castlevanialordsofshadow2,Castlevania : Lords of Shadow 2,PS3,98 avis,2014,2014-02-01,8.0,7.5,castlevanialordsofshadow2
10842,Barbie: Groom and Glam Pups,Wii,2010.0,Action,THQ,0.19,0.02,0.0,0.01,0.22,,,,Barbie ,,,Game Machine Studios,,barbiegroomandglampups,,,,,,,,
10843,KORG DS-10 Synthesizer,DS,2008.0,Misc,AQ Interactive,0.2,0.01,0.0,0.02,0.22,10.0,1.0,,Korg DS-10 ,,,,Korg DS-10 Synthesizer,korgds10synthesizer,,,,,,,,
10845,Tenchu: Shadow Assassins,Wii,2008.0,Action,Ubisoft,0.16,0.01,0.03,0.02,0.22,6.0,3.0,4,Tenchu ,,Ubisoft,Acquire,,tenchushadowassassins,Tenchu Shadow Assassins,Wii,28 avis,2009,2009-03-01,6.5,5.8,tenchushadowassassins
10846,Barbie Super Sports,PS,1999.0,Sports,Mattel Interactive,0.12,0.08,0.0,0.01,0.22,,,5,,,,,,barbiesupersports,,,,,,,,
10847,CSI: Fatal Conspiracy,Wii,2010.0,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22,4.0,3.0,3,Les Experts ,,,Telltale Games,,csifatalconspiracy,,,,,,,,
10848,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.16,0.06,0.0,0.0,0.22,,,,,,,,,nicktoonscollectiongameboyadvancevideovolume2,,,,,,,,
10850,Jackass the Game,PSP,2007.0,Action,Empire Interactive,0.09,0.08,0.0,0.05,0.22,,,4,,,KOCH Media France,Sidhe Interactive,,jackassthegame,Jackass : The Game,PSP,30 avis,2007,2007-11-01,4.5,0.0,jackassthegame
10851,The Legend of Heroes: Trails of Cold Steel,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.04,0.12,0.02,0.22,7.4,27.0,5.0,The Legend of Heroes,2016-01-15,KOCH Media France,Falcom,The Legend of Heroes : Trails of Cold Steel III,thelegendofheroestrailsofcoldsteel,The Legend of Heroes : Trails of Cold Steel,PS3,7 avis,2016,2016-01-01,6.0,8.0,thelegendofheroestrailsofcoldsteel
10852,The Legend of Heroes: Trails of Cold Steel,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.04,0.12,0.02,0.22,7.4,27.0,5.0,The Legend of Heroes,2016-01-15,KOCH Media France,Falcom,The Legend of Heroes: Trails of Cold Steel,thelegendofheroestrailsofcoldsteel,The Legend of Heroes : Trails of Cold Steel,PS3,7 avis,2016,2016-01-01,6.0,8.0,thelegendofheroestrailsofcoldsteel
10854,Tom Clancy's Rainbow Six: Siege,PC,2015.0,Shooter,Ubisoft,0.12,0.08,0.0,0.02,0.22,,,,,,,Ubisoft Montréal,Rainbow Six Siege,tomclancysrainbowsixsiege,Tom Clancy's Rainbow Six Siege,PC,326 avis,2015,2015-12-01,8.5,7.4,tomclancysrainbowsixsiege
10856,Dungeon Hunter Alliance,PSV,2012.0,Action,Ubisoft,0.09,0.1,0.0,0.04,0.22,5.8,14.0,,Dungeon Hunter ,,,Gameloft,,dungeonhunteralliance,Dungeon Hunter Alliance,PSV,53 avis,2011,2011-04-01,7.5,7.35,dungeonhunteralliance
10857,LEGO Harry Potter: Years 5-7,PC,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,7.1,21.0,,,,Warner Bros. Interactive Entertainment,"""Traveller's Tales""",,legoharrypotteryears57,,,,,,,,
10858,Duel Masters: Kaijudo Showdown,GBA,2004.0,Misc,Atari,0.16,0.06,0.0,0.0,0.22,,,,Duel Masters ,,,,Duel Masters : Kaijudo Showdown,duelmasterskaijudoshowdown,,,,,,,,
10859,Imagine: Boutique Owner,DS,2009.0,Simulation,Ubisoft,0.2,0.0,0.0,0.02,0.22,,,,,,,,,imagineboutiqueowner,,,,,,,,
10860,The Walking Dead: Season Two,PS3,2014.0,Adventure,Telltale Games,0.09,0.09,0.0,0.04,0.22,7.2,142.0,,The Walking Dead ,,,Telltale Games,,thewalkingdeadseasontwo,,,,,,,,
10861,The Lord of the Rings: The Third Age,GBA,2004.0,Role-Playing,Electronic Arts,0.16,0.06,0.0,0.0,0.22,6.9,32.0,5,Le Seigneur des Anneaux ,,,Visceral Games,,thelordoftheringsthethirdage,,,,,,,,
10862,Cursed Mountain,Wii,2009.0,Adventure,Deep Silver,0.09,0.1,0.0,0.02,0.22,5.8,5.0,4.0,,2009-08-28,KOCH Media France,Sproing Interactive Media,Cursed Mountain,cursedmountain,Cursed Mountain,Wii,32 avis,2009,2009-08-01,6.0,6.25,cursedmountain
10863,The Suffering,XB,2004.0,Action,Midway Games,0.16,0.05,0.0,0.01,0.22,7.8,4.0,6.0,The Suffering,2004-06-04,,Surreal Software,The Suffering,thesuffering,,,,,,,,
10864,Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,0.0,0.0,0.22,0.0,0.22,7.6,65.0,8,Dragon Quest ,,,Square Enix,,dragonquestbuildersrevivealefgard,,,,,,,,
10865,Tetris Worlds,GC,2002.0,Puzzle,THQ,0.17,0.04,0.0,0.01,0.22,,,,Tetris ,,,Blue Planet Software,,tetrisworlds,,,,,,,,
10866,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014.0,Adventure,Activision,0.11,0.09,0.0,0.02,0.22,5.0,1.0,,Les Tortues Ninja ,,,WayForward,,teenagemutantninjaturtlesdangeroftheooze,,,,,,,,
10867,ECW Hardcore Revolution,N64,2000.0,Fighting,Acclaim Entertainment,0.18,0.04,0.0,0.0,0.22,5.0,2.0,,,,Acclaim Entertainment,Acclaim Studios Salt Lake City,,ecwhardcorerevolution,ECW Hardcore Revolution,N64,0 avis,2000,2000-02-01,3.5,0.0,ecwhardcorerevolution
10868,Mega Man 64,N64,2000.0,Action,Capcom,0.14,0.03,0.05,0.0,0.22,4.5,2.0,2,Mega Man ,,,Capcom,,megaman64,,,,,,,,
10869,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.22,0.0,0.22,,,,,,,,,choukuukannightproyakyuukinghigherjpsales,,,,,,,,
10870,Rampage 2: Universal Tour,N64,1999.0,Action,GT Interactive,0.18,0.04,0.0,0.0,0.22,,,,Rampage ,,,Avalanche Software,,rampage2universaltour,Rampage 2 : Universal Tour,N64,9 avis,1999,1999-06-01,6.0,5.4,rampage2universaltour
10872,Ms. Pac-Man: Maze Madness,N64,2000.0,Puzzle,Namco Bandai Games,0.18,0.04,0.0,0.0,0.22,7.0,1.0,,Pac-Man ,,,Namco,,mspacmanmazemadness,Ms. Pac-Man : Maze Madness,N64,1 avis,2000,2000-09-01,7.0,10.0,mspacmanmazemadness
10873,Tales of Graces,Wii,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,7.4,99.0,7.0,Tales of,2012-08-31,,Bandai Namco Games,Tales of Graces,talesofgraces,,,,,,,,
10874,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22,5.6,5.0,7.0,Age of Empires,2009-02-16,,Griptonite Games,Age of Empires : Mythologies,ageofempiresmythologies,,,,,,,,
10875,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22,5.6,5.0,7.0,Age of Empires,2009-02-16,,Griptonite Games,Age of Empires: Mythologies,ageofempiresmythologies,,,,,,,,
10876,Viewtiful Joe 2,GC,2004.0,Action,Capcom,0.17,0.04,0.0,0.01,0.22,,,,Viewtiful Joe ,,,Clover Studio,Viewtiful Joe 2,viewtifuljoe2,,,,,,,,
10877,Where's Waldo? The Fantastic Journey,DS,2009.0,Adventure,Ubisoft,0.2,0.0,0.0,0.02,0.22,,,,Où est Charlie ? ,,,Ludia,,whereswaldothefantasticjourney,,,,,,,,
10878,ATV Quad Kings,Wii,2009.0,Racing,Zoo Digital Publishing,0.21,0.0,0.0,0.01,0.22,,,,,,,,ATV Quad Kings,atvquadkings,,,,,,,,
10879,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002.0,Misc,Acclaim Entertainment,0.11,0.08,0.0,0.03,0.22,,,,Mary-Kate and Ashley ,,,n-Space,,marykateandashleysweet16licencedtodrive,,,,,,,,
10880,Jewel Quest: Expeditions,DS,2007.0,Puzzle,Avanquest,0.03,0.18,0.0,0.01,0.22,6.0,1.0,,Jewel Quest ,,,iWin,,jewelquestexpeditions,,,,,,,,
10881,NBA Jam Extreme,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,5.0,5.0,,NBA Jam ,,,Acclaim Entertainment,,nbajamextreme,,,,,,,,
10882,Dragon Ball: Origins (JP & incomplete US sales),DS,2008.0,Adventure,Atari,0.04,0.0,0.17,0.0,0.22,6.0,33.0,6,Dragon Ball ,,Atari,Game Republic,,dragonballoriginsjpincompleteussales,,,,,,,,
10883,Touch the Dead,DS,2007.0,Shooter,Eidos Interactive,0.2,0.0,0.0,0.02,0.22,5.7,3.0,,,,,PikPok,,touchthedead,,,,,,,,
10885,Tropico 3,X360,2009.0,Strategy,Kalypso Media,0.15,0.02,0.03,0.02,0.22,6.9,14.0,6.0,Tropico,2009-11-02,,Haemimont Games,Tropico 3,tropico3,Tropico 3,X360,25 avis,2009,2009-10-01,8.0,8.4,tropico3
10886,Nickelodeon Party Blast,XB,2002.0,Misc,Infogrames,0.16,0.05,0.0,0.01,0.22,,,,,,,,Nickelodeon Party Blast,nickelodeonpartyblast,,,,,,,,
10887,Ben 10 Alien Force: Vilgax Attacks,X360,2009.0,Action,D3Publisher,0.11,0.09,0.0,0.02,0.22,,,3,Ben 10 ,,,Papaya Studio,,ben10alienforcevilgaxattacks,Ben 10 : Alien Force : Vilgax Attacks,X360,10 avis,2010,2010-09-01,4.0,0.0,ben10alienforcevilgaxattacks
10888,NHL Championship 2000,PS,1998.0,Sports,Fox Interactive,0.12,0.08,0.0,0.01,0.22,,,,,,,Radical Entertainment,,nhlchampionship2000,,,,,,,,
10889,G.I. Joe: The Rise of Cobra,Wii,2009.0,Action,Electronic Arts,0.17,0.03,0.0,0.02,0.22,6.0,1.0,3,G.I. Joe ,,,Double Helix,,gijoetheriseofcobra,,,,,,,,
10890,Shellshock: Nam '67,XB,2004.0,Shooter,Eidos Interactive,0.16,0.05,0.0,0.01,0.22,,,5,Shellshock ,,,Guerrilla,,shellshocknam67,,,,,,,,
10891,Hunted: The Demon's Forge,X360,2011.0,Action,Bethesda Softworks,0.13,0.07,0.0,0.02,0.22,5.5,29.0,5.0,,2011-06-08,,InXile Entertainment,Hunted : The Demon's Forge,huntedthedemonsforge,Hunted : The Demon's Forge,X360,52 avis,2011,2011-06-01,6.5,6.4,huntedthedemonsforge
10892,Hunted: The Demon's Forge,X360,2011.0,Action,Bethesda Softworks,0.13,0.07,0.0,0.02,0.22,5.5,29.0,5.0,,2011-06-08,,InXile Entertainment,Hunted: The Demon's Forge,huntedthedemonsforge,Hunted : The Demon's Forge,X360,52 avis,2011,2011-06-01,6.5,6.4,huntedthedemonsforge
10893,Kartia: The Word of Fate,PS,1998.0,Strategy,Konami Digital Entertainment,0.05,0.03,0.12,0.01,0.22,,,,,,,,,kartiathewordoffate,,,,,,,,
10894,Tales of Berseria,PS4,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,7.0,46.0,7.0,Tales of,2017-01-26,,Bandai Namco Games,Tales of Berseria,talesofberseria,Tales of Berseria,PS4,71 avis,2017,2017-01-01,8.0,6.05,talesofberseria
10895,All-Star Baseball 2002,GC,2001.0,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,,,,All-Star Baseball ,,,Acclaim Entertainment,All-Star Baseball 2002,allstarbaseball2002,,,,,,,,
10896,Magna Carta: Tears of Blood,PS2,2004.0,Role-Playing,505 Games,0.11,0.08,0.0,0.03,0.22,6.2,29.0,6,Magna Carta ,,Codemasters,Softmax,,magnacartatearsofblood,,,,,,,,
10897,Lethal Skies Elite Pilot: Team SW,PS2,2001.0,Simulation,Sammy Corporation,0.11,0.08,0.0,0.03,0.22,,,,,,,Asmik-Ace,,lethalskieselitepilotteamsw,,,,,,,,
10898,Capcom vs. SNK,DC,2000.0,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22,7.4,8.0,,Capcom vs SNK ,,,Capcom,,capcomvssnk,,,,,,,,
10899,NBA Live 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22,6.2,5.0,5,NBA Live ,,,Electronic Arts,,nbalive09allplay,,,,,,,,
10900,Infinite Space,DS,2009.0,Role-Playing,Sega,0.07,0.06,0.07,0.01,0.22,7.5,20.0,7.0,,2010-03-26,,Nude Maker,Infinite Space,infinitespace,,,,,,,,
10901,Yoostar2,X360,2011.0,Misc,Unknown,0.11,0.09,0.0,0.02,0.22,4.0,1.0,4,Yoostar ,,Namco Bandai Partners,Blitz Games,,yoostar2,Yoostar 2,X360,3 avis,2011,2011-03-01,3.5,9.0,yoostar2
10902,Transformers: Devastation,PS4,2015.0,Action,Activision,0.1,0.08,0.0,0.04,0.22,6.3,37.0,6.0,,2015-10-09,,PlatinumGames,Transformers : Devastation,transformersdevastation,Transformers : Devastation,PS4,9 avis,2015,2015-10-01,7.0,6.1,transformersdevastation
10903,Transformers: Devastation,PS4,2015.0,Action,Activision,0.1,0.08,0.0,0.04,0.22,6.3,37.0,6.0,,2015-10-09,,PlatinumGames,Transformers: Devastation,transformersdevastation,Transformers : Devastation,PS4,9 avis,2015,2015-10-01,7.0,6.1,transformersdevastation
10904,Tamagotchi no KiraKira Omisecchi,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,Tamagotchi ,,,,Tamagotchi no Kirakira Omisetchi,tamagotchinokirakiraomisecchi,,,,,,,,
10905,From Russia With Love,GC,2005.0,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22,6.4,12.0,5,James Bond ,,Electronic Arts,Visceral Games,,fromrussiawithlove,,,,,,,,
10906,You Don't Know Jack,Wii,2011.0,Misc,THQ,0.2,0.0,0.0,0.01,0.22,8.5,2.0,,"""You Don't Know Jack """,,,,You Don't Know Jack,youdontknowjack,,,,,,,,
10907,Just Dance 2016,PS3,2015.0,Misc,Ubisoft,0.1,0.08,0.0,0.04,0.22,,,,Just Dance ,,,Ubisoft Pune,,justdance2016,Just Dance 2016,PS3,1 avis,2015,2015-10-01,6.5,2.0,justdance2016
10908,Pinball Hall of Fame: The Williams Collection,PS3,2009.0,Misc,Crave Entertainment,0.2,0.0,0.0,0.02,0.22,6.6,5.0,,,,Koch Media,FarSight Studios,,pinballhalloffamethewilliamscollection,,,,,,,,
10909,Guitar Hero: Smash Hits,PS2,2009.0,Misc,Activision,0.11,0.01,0.0,0.1,0.22,6.1,16.0,5,,,,Beenox Studio,,guitarherosmashhits,,,,,,,,
10910,NFL Quarterback Club 2002,PS2,2001.0,Sports,Acclaim Entertainment,0.11,0.08,0.0,0.03,0.22,0.0,0.0,5.0,NFL Quarterback Club,2001-09-29,,,NFL Quarterback Club 2002,nflquarterbackclub2002,,,,,,,,
10911,Kirby's Star Stacker,GB,1997.0,Puzzle,Nintendo,0.0,0.0,0.22,0.0,0.22,,,,Kirby ,,,HAL Laboratory,,kirbysstarstacker,,,,,,,,
10912,NCAA Basketball 09,X360,2008.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,7.0,1.0,,NCAA ,,,EA Canada,,ncaabasketball09,,,,,,,,
10913,Full Auto,X360,2006.0,Shooter,Sega,0.19,0.01,0.0,0.02,0.22,5.7,7.0,4.0,Full Auto,2006-02-08,,Pseudo Interactive,Full Auto,fullauto,,,,,,,,
10916,Dead Island,PC,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22,6.4,141.0,5.0,Dead Island,2011-09-06,,Techland,Dead Island,deadisland,Dead Island,PC,496 avis,2011,2011-09-01,8.0,7.65,deadisland
10917,Growlanser: Heritage of War,PS2,2006.0,Role-Playing,Rising Star Games,0.11,0.08,0.0,0.03,0.22,5.5,2.0,,Growlanser ,,,Career Soft,,growlanserheritageofwar,,,,,,,,
10918,Hasbro Family Game Night,DS,2009.0,Puzzle,Electronic Arts,0.01,0.19,0.0,0.02,0.22,,,,Best of des Jeux en Famille ,,,Sumo Digital,,hasbrofamilygamenight,,,,,,,,
10919,Shin Megami Tensei x Fire Emblem,WiiU,2015.0,Role-Playing,Nintendo,0.1,0.04,0.06,0.01,0.22,7.4,37.0,7,,,,Atlus,,shinmegamitenseixfireemblem,,,,,,,,
10920,Rugby 2004,PS2,2003.0,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22,0.0,0.0,4.0,Rugby EA Sports,2003-09-29,,HB Studios,Rugby 2004,rugby2004,Rugby 2004,PS2,21 avis,2003,2003-09-01,6.5,5.35,rugby2004
10921,Disney's Magical Quest Starring Mickey and Minnie,GBA,2002.0,Action,Nintendo,0.16,0.06,0.0,0.0,0.22,7.5,35.0,,,,,,Magical Quest Starring Mickey & Minnie,disneysmagicalqueststarringmickeyandminnie,,,,,,,,
10922,Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,Nintendo,0.12,0.02,0.06,0.01,0.22,5.3,6.0,4,,,,Tecmo,,spiritcamerathecursedmemoir,,,,,,,,
10923,NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22,,,,NBA (Sony) ,,,,NBA 06,nba06,,,,,,,,
10924,Naruto: Ninja Council,GBA,2003.0,Action,Tomy Corporation,0.16,0.06,0.0,0.0,0.22,3.0,1.0,5,Naruto ,,,,Naruto : Ninja Council,narutoninjacouncil,,,,,,,,
10925,Shin Megami Tensei: Persona,PSP,2009.0,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22,6.8,16.0,7.0,Megami Tensei,2009-07-17,,Atlus,Shin Megami Tensei : Persona,shinmegamitenseipersona,,,,,,,,
10926,Shin Megami Tensei: Persona,PSP,2009.0,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22,6.8,16.0,7.0,Megami Tensei,2009-07-17,,Atlus,Shin Megami Tensei: Persona,shinmegamitenseipersona,,,,,,,,
10927,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007.0,Adventure,Tecmo Koei,0.0,0.0,0.22,0.0,0.22,,,,,,,,,dsnishimurakyotarosuspenseshintanteiserieskyotoatamizekkainokotousatsuinowana,,,,,,,,
