,Name,Platform,Year,Genre,Publisher,Studio,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,Mois,Date_Sortie,RM_Publisher,RM_Publisher_score,RM_Publisher_rate,RM_Publisher_reviews,RM_Studio,RM_Studio_score,RM_Studio_rate,RM_Studio_reviews,RM_Licence,RM_Licence_score,RM_Licence_rate,RM_Licence_reviews,is_serie,is_top_serie,is_top_studio,is_e3,is_launch_plateform_associated
8703,Driven,PS2,2001,Racing,BAM! Entertainment,Bam Entertainment,0.08,0.06,0.0,0.02,0.15,Driven,1,2001-01-01,0.41,5.75,6.65,3.0,0.55,7.0,7.1,21.0,0.55,7.0,7.1,21.0,0,0,0,0,0
8704,F.E.A.R. 3,PC,2011,Shooter,Warner Bros. Interactive Entertainment,Day 1 Studios,0.04,0.08,0.0,0.03,0.15,F.E.A.R.,6,2011-06-01,0.45,6.25,6.4,44.0,0.46,6.2,6.55,44.0,0.46,6.2,6.55,44.0,0,0,0,1,0
8705,de Blob 2,X360,2011,Platform,THQ,Blue Tongue Entertainment,0.1,0.04,0.0,0.01,0.15,de Blob,2,2011-02-01,0.18,7.13,7.47,25.0,0.21,6.97,6.93,20.5,0.21,6.97,6.93,20.5,0,0,0,1,0
8706,"Warhammer 40,000: Fire Warrior",PS2,2003,Shooter,THQ,Kuju Entertainment,0.08,0.06,0.0,0.02,0.15,Warhammer 40.000,9,2003-09-01,0.33,7.6,7.85,1.0,0.03,5.0,7.85,1.0,0.03,5.0,7.85,1.0,0,0,0,0,0
8707,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,Virtuos,0.13,0.02,0.0,0.01,0.15,Hot Wheels,11,2009-11-01,0.18,7.4,7.2,23.0,0.34,7.4,7.2,23.0,0.15,3.25,4.43,1.0,0,0,0,0,0
8708,James Noir's Hollywood Crimes,3DS,2011,Adventure,Ubisoft,Ubisoft,0.07,0.07,0.0,0.02,0.15,James Noir's Hollywood Crimes,11,2011-11-01,0.54,6.37,7.25,16.0,1.17,7.7,7.5,2.0,1.17,7.7,7.5,2.0,0,0,1,0,0
8709,Deadly Premonition,PS3,2010,Action,Rising Star Games,Access Games,0.08,0.05,0.0,0.02,0.15,Deadly Premonition,10,2010-10-01,0.27,5.9,7.85,52.0,0.31,5.15,5.75,2.0,0.31,5.15,5.75,2.0,0,0,0,0,0
8710,Bomberman,PSP,2006,Puzzle,Konami Digital Entertainment,Hudson,0.14,0.0,0.0,0.01,0.15,Bomberman,7,2006-07-01,0.06,6.8,7.65,12.0,0.14,6.9,8.4,12.0,0.16,7.25,7.78,69.0,1,0,0,0,0
8711,MTV Music Generator 2,PS2,2001,Misc,Codemasters,Jester Interactive,0.08,0.06,0.0,0.02,0.15,MTV Music Generator,5,2001-05-01,0.11,3.0,3.0,,0.47,3.0,3.0,,0.47,3.0,3.0,,0,0,0,0,0
8712,The Quest Trio,DS,2008,Puzzle,Avanquest,The Quest Trio,0.14,0.01,0.0,0.01,0.15,The Quest Trio,1,2008-01-01,0.22,6.8,6.0,1.0,0.22,6.8,6.0,1.0,0.22,6.8,6.0,1.0,0,0,0,0,0
8713,Chaotic: Shadow Warriors,X360,2009,Action,Activision,FUN Labs,0.14,0.0,0.0,0.01,0.15,Chaotic: Shadow Warriors,11,2009-11-01,0.16,5.0,5.0,,0.18,5.0,5.0,,0.18,5.0,5.0,,0,0,0,0,0
8714,Space Invaders Extreme,DS,2008,Shooter,Square Enix,Taito Corporation,0.12,0.01,0.01,0.01,0.15,Space Invaders,7,2008-07-01,0.06,6.0,6.0,0.0,0.01,6.0,6.0,0.0,0.11,5.0,5.0,0.0,1,0,0,0,1
8715,Burnout 2: Point of Impact,GC,2003,Racing,Acclaim Entertainment,Criterion Games,0.12,0.03,0.0,0.0,0.15,Burnout,4,2003-04-01,0.42,7.15,7.5,2.0,0.13,7.0,6.55,30.0,0.13,7.0,6.55,30.0,1,0,0,0,1
8716,Paris-Dakar Rally,PS2,2001,Racing,Acclaim Entertainment,Broadsword Interactive,0.08,0.06,0.0,0.02,0.15,Paris Dakar Rally,9,2001-09-01,0.27,7.03,7.28,17.0,0.27,7.03,7.28,17.0,0.27,7.03,7.28,17.0,0,0,0,0,0
8717,All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,Visual Concepts,0.14,0.0,0.0,0.01,0.15,NFL 2K,7,2007-07-01,0.05,3.75,3.65,2.0,0.12,4.25,3.95,2.0,0.56,8.2,8.83,3.0,0,0,1,0,0
8718,Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007,Role-Playing,Namco Bandai Games,Dragon Ball,0.0,0.0,0.15,0.0,0.15,Dragon Ball,1,2007-01-01,0.17,7.43,8.25,260.0,0.17,7.43,8.25,260.0,0.79,7.43,8.25,260.0,0,0,0,0,0
8719,Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,Gust,0.08,0.06,0.0,0.02,0.15,Atelier,6,2004-06-01,0.05,6.5,6.5,,0.01,6.5,6.5,,0.09,6.5,6.5,,1,0,0,0,0
8720,Blinx 2: Masters of Time & Space,XB,2004,Platform,Microsoft Game Studios,Artoon,0.12,0.03,0.0,0.01,0.15,Blinx,11,2004-11-01,2.66,8.25,8.05,100.0,0.56,5.55,6.35,4.0,0.56,5.55,6.35,4.0,0,0,0,0,0
8721,Stormrise,X360,2009,Strategy,Sega,Creative Assembly,0.11,0.03,0.0,0.01,0.15,Stormrise,3,2009-03-01,0.22,7.25,7.85,20.0,1.09,8.67,7.67,299.0,1.09,8.67,7.67,299.0,0,0,0,0,0
8722,NHL 2K10,PS3,2009,Sports,Take-Two Interactive,Take-Two Interactive,0.13,0.01,0.0,0.01,0.15,NHL 2K,9,2009-09-01,0.36,7.95,6.55,7.0,0.36,7.95,6.55,7.0,0.36,7.95,6.55,7.0,1,0,0,0,0
8723,FIFA Street 2,PSP,2006,Sports,Electronic Arts,EA Canada,0.07,0.06,0.0,0.03,0.15,FIFA EA Sports,3,2006-03-01,0.52,7.58,8.18,22.5,0.05,6.67,7.48,10.5,0.08,5.65,6.7,11.0,1,1,1,0,0
8724,Tak: The Great Juju Challenge,GC,2005,Platform,THQ,Avalanche Software,0.12,0.03,0.0,0.0,0.15,Tak,9,2005-09-01,0.21,4.93,7.55,8.5,0.24,4.05,5.4,3.0,0.17,5.57,5.4,0.0,0,0,0,0,0
8725,Deponia,PC,2012,Adventure,Daedalic,Daedalic Entertainment,0.0,0.13,0.0,0.03,0.15,Deponia,6,2012-06-01,0.11,8.0,8.1,160.0,0.06,8.0,6.53,17.5,0.06,8.0,6.53,17.5,0,0,0,0,0
8726,Harvest Moon: The Lost Valley,3DS,2014,Simulation,Natsume,Marvelous,0.12,0.02,0.0,0.01,0.15,Harvest Moon,1,2014-01-01,0.07,7.15,7.55,4.0,0.24,7.15,7.55,4.0,0.55,7.8,7.9,7.0,1,0,0,1,0
8727,Knockout Kings 2003,GC,2002,Sports,Electronic Arts,EA Sports,0.12,0.03,0.0,0.0,0.15,Knockout Kings EA Sports,10,2002-10-01,0.21,7.5,7.4,0.0,0.23,9.0,6.7,0.0,0.27,6.9,7.0,0.0,1,0,1,0,0
8728,NCAA Football 2004,GC,2003,Sports,Electronic Arts,EA Sports,0.12,0.03,0.0,0.0,0.15,NCAA,7,2003-07-01,1.67,9.4,8.3,,1.67,9.4,8.3,,1.67,9.4,8.3,,1,0,1,0,0
8729,XGIII: Extreme G Racing,GC,2001,Racing,Acclaim Entertainment,Acclaim,0.12,0.03,0.0,0.0,0.15,Extreme G,11,2001-11-01,0.22,6.6,6.3,2.0,0.23,4.75,3.95,2.0,0.39,4.75,6.5,16.0,1,0,0,0,0
8730,NHL 17,XOne,2016,Sports,Electronic Arts,EA Canada,0.13,0.01,0.0,0.02,0.15,NHL EA Sports,9,2016-09-01,0.2,7.65,6.57,3.0,0.47,6.2,5.5,4.0,0.04,8.0,8.0,0.5,1,0,1,1,0
8731,Jewel Quest Solitaire,DS,2009,Puzzle,GSP,Jewel Quest,0.0,0.14,0.0,0.02,0.15,Jewel Quest,1,2009-01-01,0.68,,,,0.68,,,,0.01,,,,0,0,0,0,0
8732,Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,Kojima Productions,0.07,0.06,0.01,0.01,0.15,Metal Gear,3,2014-03-01,0.62,6.2,6.3,149.5,0.62,6.2,6.3,149.5,0.62,6.2,6.3,149.5,1,1,0,0,1
8733,Digimon World 4,PS2,2005,Role-Playing,Atari,Bandai,0.08,0.06,0.0,0.02,0.15,Digimon,6,2005-06-01,0.02,5.7,7.3,3.0,0.07,5.7,7.3,3.0,0.04,7.1,6.7,3.0,1,0,0,0,0
8734,Cars: Race-O-Rama,X360,2009,Racing,THQ,Incinerator Games,0.14,0.01,0.0,0.01,0.15,Cars: Race-O-Rama,11,2009-11-01,0.41,6.0,6.07,4.0,0.47,6.0,6.82,5.5,0.47,6.0,6.82,5.5,0,0,0,0,1
8735,Disney's Story Studio: Disney's Mulan,PS,1999,Misc,Sony Computer Entertainment,Disney Interactive,0.09,0.06,0.0,0.01,0.15,Mulan,1,1999-01-01,0.22,6.7,6.7,3.0,0.22,6.7,6.7,3.0,0.22,6.7,6.7,3.0,0,0,0,0,0
8736,Klax,2600,1989,Puzzle,Atari,Tengen,0.14,0.01,0.0,0.0,0.15,Klax,1,1989-01-01,0.08,2.0,2.0,1.0,0.08,2.0,2.0,1.0,0.08,2.0,2.0,1.0,0,0,0,0,0
8737,Pressure Cooker,2600,1982,Action,Activision,Activision,0.14,0.01,0.0,0.0,0.15,Pressure Cooker,1,1982-01-01,0.55,6.5,6.5,2.0,0.55,6.5,6.5,2.0,0.55,6.5,6.5,2.0,0,0,0,0,0
8738,Saturn Bomberman,SAT,1996,Puzzle,Sega,Hudson Soft,0.0,0.0,0.15,0.0,0.15,Bomberman,1,1996-01-01,0.29,5.0,5.0,1.0,0.44,5.0,5.0,1.0,0.44,5.0,5.0,1.0,0,0,0,0,0
8739,Jikkyou Powerful Pro Yakyuu Portable,PSP,2006,Sports,Konami Digital Entertainment,Konami,0.0,0.0,0.15,0.0,0.15,Jikkyou Powerful Pro Yakyuu Portable,1,2006-01-01,0.21,,,,0.22,,,,0.22,,,,0,0,1,0,0
8740,The Adventures of Tintin: The Game,3DS,2011,Action,Ubisoft,Ubisoft Montpellier,0.05,0.09,0.0,0.02,0.15,Tintin,12,2011-12-01,0.27,4.95,6.6,14.0,0.27,4.95,6.6,14.0,0.27,4.95,6.6,14.0,0,0,1,0,0
8741,American Chopper,XB,2004,Racing,Zoo Digital Publishing,Creat Studios,0.11,0.03,0.0,0.01,0.15,American Chopper,12,2004-12-01,0.03,4.0,10.0,1.0,0.11,6.6,7.62,2.0,0.42,4.7,7.3,2.0,0,0,0,0,0
8742,Sonny with a Chance,DS,2010,Action,Disney Interactive Studios,Altron,0.12,0.02,0.0,0.01,0.15,Sonny with a Chance,3,2010-03-01,0.53,6.9,7.1,1.0,0.65,6.9,7.0,1.0,0.65,6.9,7.0,1.0,0,0,0,0,0
8743,Murdered: Soul Suspect,PS3,2014,Action,Square Enix,Airtight Games,0.05,0.06,0.02,0.02,0.15,Murdered: Soul Suspect,6,2014-06-01,0.32,5.8,6.78,62.0,0.32,5.8,6.78,62.0,0.32,5.8,6.78,62.0,0,0,0,1,1
8744,Farm Frenzy: Animal Country,DS,2009,Simulation,City Interactive,City Interactive,0.13,0.01,0.0,0.01,0.15,Farm Frenzy,9,2009-09-01,0.04,3.6,2.0,1.0,0.49,3.6,2.0,1.0,0.02,3.6,7.8,1.0,0,0,0,0,0
8745,Kingdom Under Fire: Heroes,XB,2005,Strategy,Deep Silver,Phantagram,0.11,0.03,0.0,0.01,0.15,Kingdom Under Fire,9,2005-09-01,0.02,6.15,5.75,2.0,0.32,7.55,8.05,13.0,0.32,7.55,8.05,13.0,1,0,0,0,0
8746,Wolfenstein: The Old Blood,XOne,2015,Action,Bethesda Softworks,MachineGames,0.07,0.07,0.0,0.01,0.15,Wolfenstein,5,2015-05-01,0.14,6.5,7.3,84.0,0.41,6.5,7.3,84.0,0.41,6.5,7.3,84.0,1,0,0,0,0
8747,The Terminator: Dawn of Fate,XB,2002,Action,Atari,Paradigm Entertainment,0.11,0.03,0.0,0.01,0.15,Terminator,9,2002-09-01,0.21,3.3,6.7,0.0,0.34,6.95,7.6,0.0,0.41,4.4,5.9,1.0,0,0,0,0,0
8748,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005,Misc,Cartoon Network Collection: Game Boy Advance Video Special Edition,Cartoon Network Collection: Game Boy Advance Video Special Edition,0.11,0.04,0.0,0.0,0.15,Cartoon Network Collection: Game Boy Advance Video Special Edition,1,2005-01-01,,,,,,,,,,,,,0,0,0,0,0
8749,Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009,Fighting,Namco Bandai Games,Racjin,0.14,0.0,0.0,0.01,0.15,Naruto,10,2009-10-01,0.32,7.9,7.68,134.5,0.02,6.3,6.8,1.0,0.04,3.0,3.5,2.0,0,0,0,0,0
8750,Scooby-Doo! Unmasked,GC,2005,Platform,THQ,Artificial Mind and Movement,0.12,0.03,0.0,0.0,0.15,Scooby-Doo,9,2005-09-01,0.18,4.4,8.4,,0.25,5.05,8.4,,0.25,5.05,8.4,,0,0,0,0,0
8751,Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,SingleTrac Entertainment Technologies,0.09,0.06,0.0,0.01,0.15,Streak: Hoverboard Racing,1,1998-01-01,0.25,6.6,6.6,8.0,0.23,6.6,6.6,8.0,0.23,6.6,6.6,8.0,0,0,0,0,0
8752,Samurai Warriors: Katana,Wii,2007,Action,Tecmo Koei,Koei,0.11,0.0,0.04,0.01,0.15,Samurai Warriors,1,2007-01-01,0.33,4.3,6.25,1.0,0.11,4.3,6.25,1.0,0.08,5.9,7.98,9.0,0,0,0,0,0
8753,Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,Game Arts,0.12,0.01,0.02,0.01,0.15,Silpheed,7,2006-07-01,0.03,7.7,8.15,7.0,0.49,7.7,7.35,15.0,0.07,6.6,6.5,5.0,0,0,0,0,0
8754,Enthusia Professional Racing,PS2,2005,Racing,Konami Digital Entertainment,Konami,0.07,0.06,0.0,0.02,0.15,Enthusia Professional Racing,5,2005-05-01,0.02,3.65,5.65,1.0,0.42,6.6,8.7,1.0,0.42,6.6,8.7,1.0,0,0,1,1,0
8755,NCAA GameBreaker 2001,PS2,2000,Sports,Sony Computer Entertainment,989 Sports,0.07,0.06,0.0,0.02,0.15,NCAA GameBreaker 2001,12,2000-12-01,0.16,5.5,5.5,,0.16,5.5,5.5,,0.16,5.5,5.5,,0,0,0,0,0
8756,Get On Da Mic,PS2,2004,Misc,Eidos Interactive,Artificial Mind and Movement,0.07,0.06,0.0,0.02,0.15,Get On Da Mic,10,2004-10-01,0.22,5.4,7.0,,0.02,4.85,7.8,,0.02,4.85,7.8,,0,0,0,0,0
8757,Heroes of Mana,DS,2007,Strategy,Square Enix,Brownie Brown,0.08,0.01,0.05,0.01,0.15,Secret of Mana (Seiken Densetsu),8,2007-08-01,0.06,5.55,7.3,19.0,0.19,6.0,6.3,28.0,0.43,5.7,5.55,6.0,0,0,0,0,0
8758,Jurassic: The Hunted,Wii,2009,Shooter,Activision,Activision,0.14,0.0,0.0,0.01,0.15,Jurassic: The Hunted,11,2009-11-01,0.15,3.0,3.0,,0.23,3.0,3.0,,0.23,3.0,3.0,,0,0,0,0,0
8759,Army Men: Sarge's War,GC,2004,Shooter,Global Star,3DO,0.12,0.03,0.0,0.0,0.15,Army Men,8,2004-08-01,0.04,3.85,7.6,0.0,0.08,6.65,7.6,0.0,0.11,5.77,7.43,12.0,1,0,0,0,0
8760,Horse Life Adventures,Wii,2008,Simulation,Deep Silver,Neko Entertainment,0.13,0.01,0.0,0.01,0.15,Horse Life,9,2008-09-01,0.55,6.7,6.8,1.0,0.03,4.0,6.0,1.0,0.1,4.0,6.0,1.0,1,0,0,0,0
8761,Amagami,PSP,2011,Adventure,Kadokawa Shoten,Amagami,0.0,0.0,0.15,0.0,0.15,Amagami,1,2011-01-01,0.01,,,,0.01,,,,0.01,,,,0,0,0,0,0
8762,Ice Age 2: The Meltdown,DS,2006,Platform,Vivendi Games,Amaze Entertainment,0.13,0.01,0.0,0.01,0.15,"""L'Age de glace """,3,2006-03-01,0.25,5.25,6.3,3.0,0.18,5.25,6.5,4.0,0.25,5.25,6.3,3.0,0,0,0,0,0
8763,Jikkyou Powerful Pro Yakyuu 2009,PS2,2009,Sports,Konami Digital Entertainment,Konami,0.0,0.0,0.15,0.0,0.15,Jikkyou Powerful Pro Yakyuu 2009,1,2009-01-01,0.19,,,,0.26,,,,0.26,,,,0,0,1,0,0
8764,Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft,Ubisoft Romania,0.1,0.03,0.0,0.02,0.15,Blazing Angels,8,2007-08-01,1.04,7.7,7.2,41.0,0.02,5.89,5.37,9.5,0.02,5.89,5.37,9.5,0,0,1,0,0
8765,Bigfoot: Collision Course,DS,2009,Racing,Zoo Digital Publishing,Destination Software,0.14,0.0,0.0,0.01,0.15,Bigfoot: Collision Course,1,2009-01-01,0.04,,,,0.06,,,,0.06,,,,0,0,0,0,0
8766,Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010,Action,THQ,THQ,0.12,0.02,0.0,0.01,0.15,Marvel Super Hero Squad: The Infinity Gauntlet,11,2010-11-01,0.18,5.4,7.0,1.0,0.19,5.4,7.0,1.0,0.19,5.4,7.0,1.0,0,0,0,0,0
8767,Kidou Senkan Nadesico,SAT,1997,Strategy,Sega,Nadesico,0.0,0.0,0.15,0.0,0.15,Nadesico,1,1997-01-01,0.42,7.0,7.0,1.0,0.42,7.0,7.0,1.0,0.42,7.0,7.0,1.0,0,0,0,0,0
8768,Tears to Tiara II: Heir of the Overlord,PS3,2013,Role-Playing,Nippon Ichi Software,Tears to Tiara,0.07,0.02,0.06,0.01,0.15,Tears to Tiara,1,2013-01-01,0.31,6.23,8.17,16.0,0.31,6.23,8.17,16.0,0.04,6.23,8.17,16.0,0,0,0,0,0
8769,Frogger's Adventures: The Rescue,GC,2003,Platform,Konami Digital Entertainment,Konami,0.12,0.03,0.0,0.0,0.15,Frogger,10,2003-10-01,0.32,5.9,8.5,,0.34,5.7,7.8,,0.32,5.9,8.5,,1,0,1,0,0
8770,The Incredibles: Rise of the Underminer,DS,2005,Action,THQ,Helixe,0.13,0.01,0.0,0.01,0.15,The Incredibles: Rise of the Underminer,11,2005-11-01,0.16,5.85,5.4,3.0,2.06,5.25,5.3,4.0,2.06,5.25,5.3,4.0,0,0,0,0,0
8771,Darksiders,PC,2010,Action,THQ,Vigil Games,0.07,0.06,0.0,0.02,0.15,Darksiders,1,2010-01-01,1.06,8.43,8.13,502.0,1.06,8.43,8.13,502.0,1.06,8.43,8.13,502.0,0,0,0,0,0
8772,The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,Action,D3Publisher,High Voltage Software,0.05,0.02,0.0,0.08,0.15,The Secret Saturdays: Beasts of the 5th Sun,10,2009-10-01,0.22,4.37,8.7,10.0,0.32,4.37,8.7,10.0,0.32,4.37,8.7,10.0,0,0,0,0,0
8773,Countdown: The Game,DS,2009,Puzzle,Mindscape,Countdown: The Game,0.0,0.14,0.0,0.01,0.15,Countdown: The Game,1,2009-01-01,0.2,,,,0.2,,,,0.2,,,,0,0,0,0,0
8774,Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,h.a.n.d. Inc.,0.14,0.0,0.0,0.01,0.15,Active Life Explorer,10,2010-10-01,0.27,5.65,7.6,8.0,0.07,6.2,7.42,12.0,0.07,6.2,7.42,12.0,0,0,0,0,0
8775,MLB Power Pros 2008,PS2,2008,Sports,Konami Digital Entertainment,Konami,0.05,0.04,0.05,0.01,0.15,MLB Power Pros 2008,7,2008-07-01,0.54,6.9,7.8,,0.01,6.9,7.8,,0.01,6.9,7.8,,0,0,1,0,0
8776,The Fairly Odd Parents: Clash with the Anti-World,GBA,2005,Adventure,THQ,Razorback Developments,0.11,0.04,0.0,0.0,0.15,The Fairly Odd Parents: Clash with the Anti-World,10,2005-10-01,0.26,5.7,7.3,,0.11,6.2,7.3,,0.11,6.2,7.3,,0,0,0,0,0
8777,Theatrhythm Dragon Quest,3DS,2015,Misc,Square Enix,Indies 0,0.0,0.0,0.15,0.0,0.15,Dragon Quest,1,2015-01-01,0.71,8.0,7.2,83.0,0.1,8.0,7.2,6.0,0.71,8.0,7.2,83.0,0,0,0,0,0
8778,Major League Baseball 2K10,DS,2010,Sports,Take-Two Interactive,Powerhead Games,0.14,0.0,0.0,0.01,0.15,Major League Baseball 2K,3,2010-03-01,0.23,,,,0.11,,,,0.23,,,,0,0,0,0,0
8779,Naruto: Powerful Shippuden,3DS,2012,Platform,Namco Bandai Games,Inti Creates,0.08,0.02,0.04,0.01,0.15,Naruto,3,2012-03-01,0.22,6.9,6.97,16.0,0.34,3.0,5.7,5.0,0.74,7.13,7.33,368.5,0,0,0,0,0
8780,Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,Activision,Paradox Development,0.08,0.06,0.0,0.01,0.15,Le Roi Lion,12,2000-12-01,0.31,5.4,7.3,,0.31,5.4,7.3,,0.31,5.4,7.3,,0,0,0,0,0
8781,Family Party: Fitness Fun,Wii,2010,Sports,D3Publisher,Tamsoft,0.14,0.0,0.0,0.01,0.15,Family Party,9,2010-09-01,0.17,4.0,8.5,,0.16,4.0,8.5,,0.16,4.0,8.5,,0,0,0,0,0
8782,Thor: God of Thunder,PS3,2011,Action,Sega,Liquid Entertainment,0.07,0.06,0.0,0.02,0.15,Marvel,5,2011-05-01,0.04,6.12,6.4,48.5,0.17,4.0,6.0,11.0,0.27,3.53,3.9,15.5,0,0,0,0,0
8783,Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,Visual Concepts,0.12,0.02,0.0,0.02,0.15,Fantastic Four: Rise of the Silver Surfer,6,2007-06-01,0.27,7.9,8.4,16.5,0.38,8.17,8.12,16.5,0.38,8.17,8.12,16.5,0,0,1,0,0
8784,Metal Slug Anthology,Wii,2006,Shooter,Ignition Entertainment,Terminal Reality,0.12,0.01,0.0,0.01,0.15,Metal Slug,12,2006-12-01,0.2,6.35,7.65,13.0,0.02,4.55,6.62,2.0,0.11,7.1,7.45,1.0,1,0,0,0,0
8785,GoldenEye 007 (2010),DS,2010,Action,Activision,Eurocom,0.11,0.03,0.0,0.01,0.15,GoldenEye 007 (2010),1,2010-01-01,0.17,6.0,5.4,12.0,0.59,6.0,5.4,12.0,0.59,6.0,5.4,12.0,0,0,0,0,0
8786,Jikkyou Powerful Pro Yakyuu 2012,PSP,2012,Action,Konami Digital Entertainment,Konami,0.0,0.0,0.15,0.0,0.15,Jikkyou Powerful Pro Yakyuu 2012,1,2012-01-01,0.19,8.0,8.0,1.0,0.21,8.0,8.0,1.0,0.21,8.0,8.0,1.0,0,0,1,0,0
8787,All Japan Pro Wrestling featuring Virtua,SAT,1997,Fighting,Sega,Sega,0.0,0.0,0.15,0.0,0.15,All Japan Pro Wrestling,1,1997-01-01,0.21,5.0,5.0,,4.16,5.0,5.0,,4.16,5.0,5.0,,0,0,1,0,0
8788,Rudra no Hihou,SNES,1996,Role-Playing,SquareSoft,Squaresoft,0.0,0.0,0.15,0.0,0.15,Rudra no Hihou,1,1996-01-01,0.24,9.25,9.25,216.5,2.31,9.25,9.25,216.5,2.31,9.25,9.25,216.5,0,0,0,0,0
8789,Gundam Breaker 2,PSV,2014,Action,Namco Bandai Games,Mobile Suit Gundam,0.0,0.0,0.15,0.0,0.15,Mobile Suit Gundam,1,2014-01-01,0.19,7.5,7.5,4.0,0.19,7.5,7.5,4.0,0.09,3.5,3.5,4.0,0,0,0,0,1
8790,Prince of Persia: The Sands of Time,GBA,2003,Action,Ubisoft,Ubisoft Montreal,0.11,0.04,0.0,0.0,0.15,Prince of Persia,10,2003-10-01,1.72,7.83,8.05,86.5,3.02,9.15,8.3,190.0,3.02,9.15,8.3,190.0,1,0,1,0,1
8791,Cake Mania: In The Mix!,Wii,2008,Puzzle,Majesco Entertainment,Gorilla Systems,0.14,0.0,0.0,0.01,0.15,Cake Mania,11,2008-11-01,0.03,6.5,5.65,2.0,0.26,3.3,3.1,0.0,0.03,3.3,3.1,0.0,0,0,0,0,0
8792,Zoids: Battle Legends,GC,2003,Action,Tomy Corporation,Tomy Corporation,0.12,0.03,0.0,0.0,0.15,Zoids,9,2003-09-01,0.68,7.1,7.8,19.0,0.68,7.1,7.8,19.0,0.68,7.1,7.8,19.0,1,0,0,0,0
8793,World Series Baseball 2K3,XB,2003,Sports,Sega,Blue Shift,0.11,0.03,0.0,0.01,0.15,mars 2003,3,2003-03-01,0.12,6.4,7.25,5.0,0.02,4.9,7.25,5.0,0.25,8.7,8.6,5.0,0,0,0,0,0
8794,Serious Sam,XB,2002,Shooter,Take-Two Interactive,Croteam,0.11,0.03,0.0,0.01,0.15,Serious Sam,11,2002-11-01,0.01,8.43,8.35,276.5,0.01,8.43,8.35,276.5,0.01,8.43,8.35,276.5,1,0,0,0,0
8795,Kowloon's Gate,PS,1997,Adventure,Sony Computer Entertainment,Artdink Corporation,0.0,0.0,0.14,0.01,0.15,"""Kowloon's Gate """,1,1997-01-01,0.19,,,,0.02,,,,0.02,,,,0,0,0,0,0
8796,Killer7,GC,2005,Action,Capcom,Grasshopper Manufacture,0.12,0.03,0.0,0.0,0.15,Killer7,7,2005-07-01,1.35,6.55,7.9,34.0,0.08,7.4,8.1,6.0,0.08,7.4,8.1,6.0,0,0,0,0,0
8797,Kingdom of Paradise,PSP,2005,Role-Playing,Sony Computer Entertainment,Climax Entertainment,0.14,0.0,0.0,0.01,0.15,Key of Heaven,11,2005-11-01,0.3,6.1,8.5,,0.3,6.1,8.5,,0.3,6.1,8.5,,1,0,0,0,0
8798,Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,2010,Puzzle,Astragon,Gunnar Games,0.09,0.04,0.0,0.01,0.15,Hidden Mysteries,11,2010-11-01,0.19,,,,0.51,,,,0.51,,,,0,0,0,0,0
8799,NBA Street Homecourt,PS3,2007,Sports,Electronic Arts,EA Canada,0.12,0.02,0.0,0.02,0.15,NBA Street,3,2007-03-01,0.35,6.3,5.98,48.0,0.21,6.7,7.1,48.0,0.23,6.25,7.85,2.0,1,0,1,0,1
8800,The Sims Medieval: Pirates and Nobles,PC,2011,Simulation,Electronic Arts,Maxis,0.05,0.08,0.0,0.02,0.15,Les Sims,1,2011-01-01,0.19,7.0,6.7,42.0,1.17,7.8,6.55,344.0,0.49,6.25,6.3,24.0,0,0,0,0,0
8801,The Cursed Crusade,X360,2011,Action,DTP Entertainment,Kylotonn,0.08,0.05,0.0,0.01,0.15,The Cursed Crusade,10,2011-10-01,0.02,4.75,5.5,14.5,0.17,4.75,5.5,14.5,0.17,4.75,5.5,14.5,0,0,0,0,0
8802,Super Monkey Ball Adventure,GC,2006,Platform,Sega,TT Games,0.12,0.03,0.0,0.0,0.15,Super Monkey Ball,8,2006-08-01,0.03,4.43,5.25,5.0,0.08,4.53,5.93,5.5,0.08,4.53,5.93,5.5,1,0,0,0,1
8803,Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,Talking Stick Games,0.14,0.0,0.0,0.01,0.15,Kids Learn Math: A+ Edition,10,2011-10-01,0.03,5.5,1.75,2.0,0.03,5.5,1.75,2.0,0.03,5.5,1.75,2.0,0,0,0,0,0
